# Timestep	Num_Clusters	Max_Cluster_Size
0	13	3420
1	12	3421
2	16	3416
3	10	3422
4	16	3416
5	13	3412
6	10	3422
7	13	3415
8	5	3428
9	12	3418
10	10	3423
11	11	3420
12	16	3415
13	15	3417
14	12	3420
15	11	3420
16	12	3421
17	13	3420
18	15	3416
19	11	3421
20	13	3420
21	9	3424
22	8	3425
23	12	3420
24	18	3415
25	12	3420
26	7	3426
27	16	3417
28	13	3420
29	12	3421
30	9	3424
31	9	3424
32	11	3422
33	9	3424
34	10	3422
35	12	3421
36	15	3413
37	16	3416
38	13	3418
39	10	3422
40	19	3414
41	11	3422
42	11	3420
43	8	3424
44	10	3423
45	18	3415
46	17	3416
47	8	3425
48	15	3416
49	13	3414
50	12	3420
51	9	3424
52	9	3424
53	15	3418
54	11	3420
55	13	3420
56	10	3423
57	11	3422
58	10	3423
59	16	3416
60	17	3415
61	12	3421
62	12	3421
63	12	3419
64	19	3408
65	12	3420
66	15	3418
67	12	3421
68	10	3421
69	15	3418
70	14	3419
71	11	3422
72	11	3422
73	14	3419
74	18	3414
75	10	3422
76	12	3421
77	9	3423
78	13	3419
79	11	3422
80	10	3422
81	9	3424
82	12	3421
83	8	3425
84	11	3422
85	12	3421
86	12	3421
87	7	3426
88	6	3426
89	10	3422
90	13	3419
91	7	3426
92	13	3419
93	14	3419
94	12	3421
95	13	3420
96	13	3420
97	14	3419
98	10	3423
99	17	3416
100	8	3425
101	16	3416
102	12	3421
103	13	3419
104	15	3418
105	11	3422
106	13	3418
107	10	3423
108	16	3415
109	11	3422
110	8	3425
111	11	3422
112	12	3421
113	10	3423
114	10	3417
115	13	3420
116	12	3419
117	14	3419
118	9	3424
119	14	3418
120	9	3424
121	11	3422
122	6	3427
123	11	3422
124	11	3421
125	14	3418
126	13	3419
127	10	3421
128	16	3410
129	11	3422
130	15	3416
131	19	3413
132	7	3426
133	8	3424
134	18	3414
135	9	3424
136	12	3421
137	11	3422
138	10	3423
139	8	3425
140	13	3420
141	8	3423
142	12	3420
143	11	3422
144	11	3422
145	12	3420
146	10	3423
147	8	3425
148	12	3419
149	15	3416
150	11	3416
151	9	3422
152	8	3425
153	7	3426
154	17	3416
155	9	3424
156	14	3416
157	16	3417
158	12	3413
159	10	3423
160	8	3424
161	6	3427
162	7	3426
163	10	3423
164	10	3423
165	12	3421
166	14	3419
167	9	3423
168	13	3414
169	7	3426
170	9	3424
171	9	3424
172	10	3423
173	8	3425
174	11	3421
175	14	3418
176	6	3427
177	7	3424
178	12	3420
179	10	3422
180	13	3420
181	11	3422
182	9	3423
183	6	3427
184	11	3422
185	10	3422
186	9	3424
187	14	3419
188	10	3422
189	10	3423
190	9	3424
191	15	3412
192	11	3422
193	7	3426
194	6	3426
195	10	3423
196	16	3417
197	9	3424
198	18	3415
199	9	3424
200	13	3420
201	12	3419
202	16	3417
203	8	3424
204	8	3425
205	11	3416
206	20	3412
207	21	3412
208	12	3418
209	16	3416
210	11	3421
211	8	3421
212	12	3420
213	9	3424
214	15	3412
215	9	3424
216	7	3426
217	15	3417
218	12	3421
219	16	3417
220	13	3420
221	20	3413
222	10	3423
223	17	3415
224	4	3429
225	10	3421
226	13	3420
227	7	3426
228	12	3421
229	13	3419
230	6	3427
231	9	3424
232	14	3419
233	12	3421
234	8	3424
235	17	3416
236	10	3422
237	13	3420
238	9	3424
239	17	3416
240	10	3423
241	9	3422
242	15	3416
243	13	3418
244	7	3426
245	12	3421
246	14	3419
247	9	3424
248	13	3419
249	8	3425
250	15	3418
251	19	3412
252	10	3423
253	13	3415
254	14	3419
255	14	3419
256	10	3423
257	13	3420
258	13	3420
259	12	3421
260	10	3423
261	6	3427
262	11	3421
263	10	3423
264	12	3419
265	14	3417
266	13	3418
267	14	3419
268	9	3424
269	9	3424
270	14	3418
271	6	3426
272	10	3423
273	9	3424
274	8	3424
275	9	3424
276	12	3421
277	11	3422
278	12	3421
279	18	3414
280	12	3421
281	9	3424
282	12	3421
283	14	3412
284	11	3422
285	13	3419
286	11	3421
287	13	3420
288	13	3419
289	12	3421
290	12	3421
291	16	3417
292	11	3422
293	9	3424
294	16	3416
295	18	3415
296	15	3418
297	10	3423
298	17	3414
299	12	3420
300	16	3416
301	14	3418
302	17	3415
303	16	3416
304	9	3423
305	10	3423
306	12	3420
307	12	3421
308	11	3421
309	15	3418
310	18	3413
311	17	3416
312	18	3414
313	15	3417
314	7	3426
315	17	3416
316	12	3416
317	10	3423
318	10	3423
319	11	3421
320	15	3418
321	11	3421
322	9	3421
323	13	3420
324	20	3411
325	12	3420
326	11	3422
327	14	3417
328	5	3427
329	9	3422
330	14	3419
331	13	3413
332	11	3422
333	14	3417
334	11	3421
335	11	3422
336	12	3421
337	10	3422
338	14	3418
339	11	3420
340	14	3419
341	15	3417
342	11	3421
343	17	3416
344	16	3417
345	9	3424
346	11	3420
347	15	3417
348	16	3416
349	13	3420
350	15	3418
351	17	3416
352	9	3424
353	11	3421
354	17	3414
355	20	3413
356	16	3415
357	10	3423
358	10	3423
359	13	3420
360	10	3423
361	10	3423
362	10	3423
363	11	3422
364	10	3418
365	8	3424
366	12	3420
367	11	3422
368	11	3422
369	15	3418
370	15	3415
371	15	3416
372	15	3418
373	10	3423
374	10	3423
375	11	3422
376	14	3418
377	15	3417
378	6	3427
379	13	3420
380	10	3423
381	16	3416
382	19	3411
383	12	3421
384	10	3422
385	10	3423
386	14	3419
387	11	3421
388	9	3424
389	11	3422
390	12	3420
391	11	3422
392	7	3425
393	14	3419
394	13	3417
395	12	3421
396	12	3419
397	17	3414
398	12	3421
399	11	3422
400	9	3424
401	16	3415
402	11	3422
403	19	3414
404	16	3416
405	18	3414
406	10	3422
407	10	3423
408	15	3416
409	13	3420
410	10	3417
411	14	3419
412	5	3427
413	11	3422
414	19	3413
415	13	3419
416	21	3411
417	10	3423
418	13	3419
419	12	3419
420	12	3421
421	19	3413
422	16	3417
423	11	3422
424	13	3419
425	16	3417
426	9	3424
427	15	3418
428	12	3420
429	14	3419
430	21	3411
431	16	3416
432	8	3425
433	14	3417
434	10	3423
435	11	3422
436	9	3422
437	10	3423
438	11	3421
439	17	3415
440	11	3421
441	7	3426
442	11	3421
443	11	3420
444	14	3419
445	12	3421
446	10	3422
447	12	3421
448	11	3421
449	14	3418
450	9	3424
451	18	3414
452	8	3425
453	16	3417
454	14	3418
455	14	3419
456	10	3423
457	12	3421
458	8	3424
459	16	3417
460	7	3426
461	14	3419
462	9	3423
463	6	3426
464	11	3420
465	8	3425
466	10	3423
467	9	3424
468	16	3416
469	15	3418
470	4	3429
471	14	3418
472	11	3422
473	12	3418
474	13	3420
475	8	3425
476	8	3425
477	7	3424
478	10	3423
479	12	3420
480	16	3416
481	14	3418
482	13	3420
483	19	3414
484	8	3419
485	12	3420
486	11	3422
487	15	3416
488	15	3418
489	15	3416
490	11	3420
491	13	3419
492	15	3418
493	11	3421
494	13	3419
495	8	3425
496	14	3413
497	9	3422
498	15	3417
499	12	3421
500	15	3417
501	14	3419
502	12	3418
503	14	3418
504	12	3421
505	13	3420
506	7	3426
507	17	3415
508	12	3418
509	15	3417
510	4	3429
511	12	3420
512	11	3422
513	11	3421
514	14	3419
515	7	3426
516	10	3423
517	10	3423
518	7	3421
519	13	3418
520	13	3420
521	9	3422
522	14	3418
523	18	3412
524	10	3423
525	11	3422
526	16	3416
527	20	3412
528	13	3420
529	10	3423
530	14	3418
531	17	3416
532	11	3422
533	11	3415
534	15	3417
535	13	3420
536	11	3421
537	14	3419
538	13	3420
539	11	3422
540	15	3417
541	5	3427
542	16	3416
543	13	3418
544	10	3422
545	12	3421
546	15	3417
547	13	3419
548	15	3413
549	11	3422
550	12	3421
551	13	3418
552	16	3416
553	9	3424
554	13	3419
555	12	3421
556	11	3420
557	13	3420
558	10	3423
559	9	3424
560	12	3420
561	11	3422
562	14	3418
563	14	3419
564	11	3422
565	15	3412
566	11	3422
567	18	3415
568	11	3421
569	16	3416
570	9	3424
571	10	3423
572	10	3420
573	15	3417
574	9	3423
575	9	3424
576	12	3421
577	8	3425
578	12	3421
579	11	3422
580	13	3420
581	15	3417
582	4	3429
583	10	3423
584	11	3422
585	15	3418
586	13	3420
587	10	3423
588	12	3421
589	15	3418
590	13	3420
591	9	3419
592	13	3419
593	12	3420
594	14	3418
595	14	3419
596	16	3416
597	13	3420
598	18	3415
599	10	3422
600	14	3419
601	13	3418
602	12	3419
603	10	3423
604	7	3426
605	11	3422
606	12	3421
607	18	3415
608	15	3417
609	7	3425
610	11	3422
611	11	3422
612	11	3421
613	14	3419
614	8	3425
615	10	3423
616	12	3421
617	12	3419
618	23	3408
619	13	3413
620	12	3420
621	11	3422
622	15	3418
623	9	3424
624	11	3422
625	9	3424
626	13	3420
627	13	3415
628	13	3420
629	12	3421
630	10	3423
631	13	3420
632	12	3420
633	13	3420
634	12	3420
635	9	3424
636	15	3418
637	11	3422
638	16	3416
639	8	3424
640	9	3423
641	13	3420
642	8	3425
643	11	3421
644	9	3424
645	12	3421
646	15	3418
647	8	3425
648	9	3424
649	12	3421
650	14	3417
651	9	3424
652	9	3424
653	14	3419
654	11	3421
655	8	3425
656	13	3415
657	10	3423
658	17	3415
659	19	3413
660	10	3423
661	12	3421
662	7	3426
663	10	3423
664	17	3416
665	10	3422
666	13	3420
667	11	3422
668	10	3423
669	11	3422
670	16	3417
671	11	3421
672	14	3414
673	12	3421
674	9	3424
675	8	3425
676	12	3420
677	10	3422
678	12	3420
679	11	3422
680	17	3416
681	10	3423
682	13	3419
683	12	3420
684	8	3425
685	14	3414
686	11	3422
687	16	3417
688	14	3419
689	17	3415
690	14	3416
691	7	3426
692	16	3417
693	8	3425
694	12	3421
695	11	3421
696	12	3420
697	9	3423
698	14	3418
699	10	3423
700	7	3426
701	6	3427
702	7	3426
703	7	3421
704	12	3420
705	10	3423
706	10	3422
707	10	3421
708	11	3422
709	16	3416
710	8	3424
711	16	3417
712	12	3421
713	14	3418
714	17	3416
715	12	3421
716	9	3424
717	12	3421
718	16	3416
719	9	3424
720	13	3420
721	12	3420
722	13	3420
723	13	3418
724	7	3426
725	10	3423
726	12	3421
727	11	3421
728	13	3420
729	13	3418
