# Timestep	Num_Clusters	Max_Cluster_Size
0	13	3420
1	8	3425
2	10	3423
3	13	3420
4	11	3422
5	14	3419
6	10	3423
7	12	3420
8	11	3421
9	13	3420
10	15	3418
11	9	3423
12	9	3424
13	12	3421
14	9	3423
15	9	3423
16	16	3416
17	12	3421
18	10	3422
19	9	3424
20	14	3419
21	18	3415
22	11	3422
23	13	3420
24	11	3422
25	9	3424
26	11	3422
27	8	3425
28	9	3423
29	8	3425
30	11	3422
31	9	3424
32	11	3422
33	12	3421
34	15	3418
35	10	3422
36	11	3422
37	14	3419
38	14	3419
39	10	3423
40	9	3423
41	11	3422
42	11	3422
43	10	3423
44	10	3423
45	13	3420
46	8	3425
47	8	3425
48	10	3422
49	10	3422
50	11	3421
51	9	3424
52	10	3422
53	10	3423
54	11	3422
55	15	3418
56	13	3420
57	15	3418
58	5	3427
59	8	3425
60	12	3421
61	15	3417
62	11	3422
63	12	3421
64	10	3423
65	6	3427
66	11	3421
67	12	3421
68	10	3422
69	13	3419
70	11	3422
71	10	3423
72	8	3425
73	5	3428
74	11	3422
75	12	3421
76	8	3424
77	10	3423
78	8	3425
79	13	3420
80	9	3424
81	11	3422
82	12	3420
83	12	3420
84	12	3421
85	14	3419
86	10	3423
87	16	3417
88	14	3418
89	16	3417
90	8	3425
91	11	3422
92	15	3418
93	6	3427
94	9	3418
95	10	3417
96	10	3423
97	10	3423
98	11	3422
99	8	3425
100	12	3420
101	10	3423
102	8	3425
103	9	3424
104	11	3422
105	12	3420
106	14	3419
107	12	3419
108	11	3422
109	11	3422
110	13	3420
111	7	3426
112	9	3424
113	11	3422
114	9	3418
115	5	3428
116	8	3425
117	11	3422
118	13	3420
119	8	3425
120	10	3423
121	11	3422
122	12	3421
123	12	3421
124	8	3425
125	8	3425
126	14	3419
127	12	3421
128	6	3427
129	9	3424
130	11	3422
131	10	3423
132	9	3424
133	11	3422
134	14	3419
135	9	3424
136	8	3424
137	12	3421
138	9	3423
139	9	3424
140	11	3421
141	6	3427
142	11	3422
143	13	3420
144	10	3423
145	13	3420
146	14	3419
147	12	3421
148	9	3424
149	9	3424
150	10	3423
151	9	3424
152	12	3421
153	15	3418
154	11	3422
155	16	3411
156	13	3420
157	9	3424
158	12	3421
159	12	3421
160	19	3414
161	11	3422
162	16	3417
163	16	3416
164	11	3421
165	10	3423
166	13	3420
167	9	3424
168	18	3413
169	15	3418
170	12	3420
171	17	3416
172	12	3420
173	18	3415
174	19	3414
175	17	3416
176	10	3423
177	19	3413
178	12	3421
179	22	3411
180	13	3417
181	13	3420
182	8	3425
183	16	3417
184	7	3426
185	11	3422
186	8	3425
187	16	3417
188	13	3420
189	10	3423
190	17	3416
191	13	3420
192	11	3422
193	13	3420
194	12	3421
195	10	3422
196	12	3421
197	11	3422
198	12	3421
199	11	3422
200	12	3421
201	14	3419
202	15	3417
203	7	3426
204	18	3414
205	13	3420
206	14	3419
