       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
        308.000000             11.71960136              1.64928352
        310.000000             11.77044421              1.66060903
        312.000000             11.82557702              1.67069296
        314.000000             11.88103234              1.68133597
        316.000000             11.93520577              1.69421344
        318.000000             11.98747737              1.70727414
        320.000000             12.03848795              1.72124245
        322.000000             12.09140065              1.73241152
        324.000000             12.14099275              1.74225701
        326.000000             12.19392632              1.75467288
        328.000000             12.24494222              1.76592809
        330.000000             12.29709069              1.77591094
        332.000000             12.34948665              1.78636357
        334.000000             12.39847741              1.79803658
        336.000000             12.44816826              1.81331766
        338.000000             12.49625888              1.82824837
        340.000000             12.54743309              1.84080570
        342.000000             12.59651724              1.84939115
        344.000000             12.64939612              1.86076089
        346.000000             12.70017184              1.87466628
        348.000000             12.75172301              1.88738384
        350.000000             12.80371593              1.89989996
        352.000000             12.85319757              1.91155633
        354.000000             12.90410403              1.92478402
        356.000000             12.95697059              1.93712707
        358.000000             13.00798035              1.94942322
        360.000000             13.05830412              1.96071059
        362.000000             13.10972320              1.97469011
        364.000000             13.15907294              1.98224691
        366.000000             13.20966636              1.99383884
        368.000000             13.25984330              2.00556879
        370.000000             13.30932743              2.01726353
        372.000000             13.36003647              2.02945289
        374.000000             13.41121901              2.04411888
        376.000000             13.46147752              2.05827320
        378.000000             13.51158210              2.07061348
        380.000000             13.56302505              2.07968491
        382.000000             13.61921930              2.09347237
        384.000000             13.67148428              2.10419980
        386.000000             13.72376483              2.11506425
        388.000000             13.77773414              2.12602031
        390.000000             13.82851449              2.13574414
        392.000000             13.88011201              2.14347834
        394.000000             13.93031514              2.15472442
        396.000000             13.98399496              2.16477873
        398.000000             14.03500534              2.17273656
        400.000000             14.08513095              2.18361346
        402.000000             14.13616082              2.19382186
        404.000000             14.18655394              2.20128521
        406.000000             14.23460785              2.21077882
        408.000000             14.28694245              2.21913415
        410.000000             14.34015365              2.22637147
        412.000000             14.38972071              2.23387726
        414.000000             14.43925905              2.24088283
        416.000000             14.49109595              2.24838560
        418.000000             14.54400284              2.25684659
        420.000000             14.59132246              2.26310179
        422.000000             14.64516169              2.27141132
        424.000000             14.69759675              2.28034984
        426.000000             14.74927534              2.28805832
        428.000000             14.80376926              2.29844639
        430.000000             14.85315200              2.31062946
        432.000000             14.90222761              2.31859062
        434.000000             14.95788345              2.32747425
        436.000000             15.01191272              2.33336845
        438.000000             15.06545964              2.34318060
        440.000000             15.11711514              2.35130455
        442.000000             15.16924953              2.36256793
        444.000000             15.21976512              2.37072839
        446.000000             15.27102564              2.38200724
        448.000000             15.32038147              2.39134918
        450.000000             15.37463668              2.40139516
        452.000000             15.42590190              2.41058370
        454.000000             15.48097945              2.42131361
        456.000000             15.53049610              2.43201081
        458.000000             15.58298929              2.44030350
        460.000000             15.63866130              2.45258629
        462.000000             15.69106407              2.46446178
        464.000000             15.74221266              2.47495386
        466.000000             15.79564466              2.49010676
        468.000000             15.84909833              2.50104335
        470.000000             15.89963033              2.51181811
        472.000000             15.95538575              2.52376954
        474.000000             16.00647904              2.53596227
        476.000000             16.06082672              2.54674171
        478.000000             16.11215531              2.55749113
        480.000000             16.16433436              2.56963749
        482.000000             16.21570167              2.58094889
        484.000000             16.26653877              2.59221673
        486.000000             16.31561122              2.60577747
        488.000000             16.36943984              2.61779834
        490.000000             16.41805602              2.62567621
        492.000000             16.46994191              2.63450720
        494.000000             16.52608455              2.64592242
        496.000000             16.57830505              2.65560631
        498.000000             16.62993985              2.66417550
        500.000000             16.68322600              2.67760762
        502.000000             16.73803645              2.68872797
        504.000000             16.79033087              2.69873051
        506.000000             16.84649494              2.71138327
        508.000000             16.90354839              2.72393576
        510.000000             16.95753703              2.73001834
        512.000000             17.00818113              2.73937752
        514.000000             17.05997407              2.74952530
        516.000000             17.11078086              2.76049587
        518.000000             17.15936845              2.76524796
        520.000000             17.20847358              2.77773145
        522.000000             17.25846598              2.78482468
        524.000000             17.30765592              2.79040671
        526.000000             17.35522161              2.79939961
        528.000000             17.40512946              2.81094035
        530.000000             17.45338400              2.81895725
        532.000000             17.50277347              2.82488359
        534.000000             17.55170700              2.83417265
        536.000000             17.60322642              2.84139986
        538.000000             17.65251679              2.84679375
        540.000000             17.69969152              2.85199187
        542.000000             17.75097086              2.86104997
        544.000000             17.80113582              2.86276672
        546.000000             17.85228343              2.86929340
        548.000000             17.90501650              2.87642591
        550.000000             17.95488871              2.88267778
        552.000000             18.00680781              2.88476291
        554.000000             18.05506030              2.89268726
        556.000000             18.09915042              2.89743645
        558.000000             18.14985715              2.90425145
        560.000000             18.19963057              2.91257302
        562.000000             18.24917796              2.91701355
        564.000000             18.29804930              2.92200411
        566.000000             18.34648720              2.92629492
        568.000000             18.39744708              2.92821971
        570.000000             18.44335982              2.93436155
        572.000000             18.49589613              2.93805394
        574.000000             18.54447484              2.94053313
        576.000000             18.59644531              2.94604236
        578.000000             18.64795080              2.94992168
        580.000000             18.69855331              2.95173041
        582.000000             18.75057214              2.95409192
        584.000000             18.80057211              2.96015471
        586.000000             18.85283892              2.96176735
        588.000000             18.90267490              2.96378918
        590.000000             18.95322334              2.96839352
        592.000000             19.00343177              2.96796883
        594.000000             19.05104039              2.97163419
        596.000000             19.10332324              2.97461969
        598.000000             19.15223735              2.97991525
        600.000000             19.20182956              2.98032738
        602.000000             19.24983015              2.98747426
        604.000000             19.30468273              2.99116332
        606.000000             19.35081772              2.99693796
        608.000000             19.40283734              2.99940394
        610.000000             19.45360728              3.00210433
        612.000000             19.50690310              3.00853992
        614.000000             19.56003670              3.01862982
        616.000000             19.61266129              3.01982149
        618.000000             19.66213284              3.02677232
        620.000000             19.71627375              3.03114401
        622.000000             19.76864536              3.03884273
        624.000000             19.82605751              3.04206138
        626.000000             19.87922082              3.04840822
        628.000000             19.93462179              3.05361179
        630.000000             19.98657654              3.05407517
        632.000000             20.04584058              3.05967846
        634.000000             20.09851466              3.06179835
        636.000000             20.15518438              3.06793673
        638.000000             20.20906177              3.07334201
        640.000000             20.26061396              3.07798709
        642.000000             20.31394396              3.08205101
        644.000000             20.36419843              3.08304358
        646.000000             20.41806450              3.08609244
        648.000000             20.46840862              3.08948079
        650.000000             20.51413385              3.09722365
        652.000000             20.56664740              3.10037279
        654.000000             20.61816253              3.10036955
        656.000000             20.67045305              3.10220019
        658.000000             20.72313161              3.10878693
        660.000000             20.77163420              3.10940391
        662.000000             20.82245057              3.11519953
        664.000000             20.87160663              3.12311557
        666.000000             20.92185865              3.13012839
        668.000000             20.97114288              3.13221910
        670.000000             21.02010718              3.13785637
        672.000000             21.07045729              3.14293063
        674.000000             21.11624076              3.14511604
        676.000000             21.16772434              3.15187573
        678.000000             21.21581795              3.15606662
        680.000000             21.26462820              3.15875583
