       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
        308.000000              5.43537436              0.19191260
        310.000000              5.44820566              0.19270908
        312.000000              5.45818600              0.19301263
        314.000000              5.47017275              0.19234554
        316.000000              5.48159019              0.19217146
        318.000000              5.49219966              0.19163634
        320.000000              5.50323034              0.19201072
        322.000000              5.51461704              0.19267143
        324.000000              5.52636487              0.19323711
        326.000000              5.53719668              0.19301979
        328.000000              5.54741316              0.19398134
        330.000000              5.55823978              0.19366363
        332.000000              5.56912102              0.19489815
        334.000000              5.57893607              0.19318284
        336.000000              5.59075666              0.19199503
        338.000000              5.60061126              0.19210144
        340.000000              5.61093210              0.19185988
        342.000000              5.62253049              0.19299722
        344.000000              5.63435115              0.19170821
        346.000000              5.64371531              0.19223185
        348.000000              5.65475733              0.19264961
        350.000000              5.66485658              0.19141012
        352.000000              5.67673700              0.19072429
        354.000000              5.68746332              0.19076956
        356.000000              5.69813234              0.18932752
        358.000000              5.70877404              0.18961627
        360.000000              5.71838049              0.18987540
        362.000000              5.72840291              0.18792092
        364.000000              5.73862740              0.18772395
        366.000000              5.74901696              0.18843718
        368.000000              5.75724918              0.18783162
        370.000000              5.76925356              0.18877375
        372.000000              5.77755750              0.18825346
        374.000000              5.78613810              0.18779588
        376.000000              5.79397016              0.18865632
        378.000000              5.80345112              0.18902105
        380.000000              5.81242387              0.18863269
        382.000000              5.82334716              0.18930144
        384.000000              5.83325423              0.18762168
        386.000000              5.84384186              0.18745590
        388.000000              5.85320728              0.18523715
        390.000000              5.86396168              0.18580260
        392.000000              5.87518507              0.18545537
        394.000000              5.88373434              0.18600540
        396.000000              5.89374337              0.18416107
        398.000000              5.90438206              0.18341182
        400.000000              5.91279427              0.18488641
        402.000000              5.92193813              0.18449655
        404.000000              5.93235309              0.18216610
        406.000000              5.93960541              0.18158816
        408.000000              5.94848572              0.18031222
        410.000000              5.95621626              0.17890476
        412.000000              5.96481667              0.17834391
        414.000000              5.97296927              0.17629712
        416.000000              5.98401050              0.17714437
        418.000000              5.99136933              0.17422077
        420.000000              5.99989116              0.17396011
        422.000000              6.00941247              0.17297901
        424.000000              6.01750185              0.17281458
        426.000000              6.02660730              0.17203669
        428.000000              6.03482652              0.17097849
        430.000000              6.04433617              0.17018743
        432.000000              6.05314794              0.16838415
        434.000000              6.06023512              0.16866683
        436.000000              6.06868156              0.16922694
        438.000000              6.07782032              0.16807335
        440.000000              6.08683233              0.16749782
        442.000000              6.09330263              0.16816473
        444.000000              6.10329938              0.16760353
        446.000000              6.11285443              0.16632978
        448.000000              6.11924154              0.16702319
        450.000000              6.12828183              0.16676915
        452.000000              6.13716322              0.16728099
        454.000000              6.14471877              0.16680531
        456.000000              6.15252733              0.16720606
        458.000000              6.15956206              0.16777311
        460.000000              6.16853395              0.16608201
        462.000000              6.17688876              0.16520670
        464.000000              6.18371133              0.16685073
        466.000000              6.19253451              0.16679725
        468.000000              6.20032407              0.16616300
        470.000000              6.20843811              0.16671169
        472.000000              6.21759996              0.16558329
        474.000000              6.22472123              0.16753953
        476.000000              6.23299459              0.16776349
        478.000000              6.24072090              0.16824393
        480.000000              6.24928424              0.16792771
        482.000000              6.25718603              0.16864610
        484.000000              6.26596220              0.16893408
        486.000000              6.27429069              0.16928666
        488.000000              6.27998053              0.16899490
        490.000000              6.28811124              0.17082928
        492.000000              6.29472161              0.17079035
        494.000000              6.30200287              0.17072334
        496.000000              6.30874558              0.17191799
        498.000000              6.31567067              0.17223910
        500.000000              6.32148076              0.17241375
        502.000000              6.33050586              0.17364133
        504.000000              6.33901074              0.17402261
        506.000000              6.34454221              0.17460159
        508.000000              6.35063890              0.17313295
        510.000000              6.35983800              0.17188550
        512.000000              6.36595572              0.17268963
        514.000000              6.37174199              0.17197680
        516.000000              6.37831482              0.17101376
        518.000000              6.38612603              0.17044016
        520.000000              6.39247125              0.17211450
        522.000000              6.39801883              0.17036532
        524.000000              6.40663005              0.17224146
        526.000000              6.41342700              0.17215502
        528.000000              6.41829240              0.17186762
        530.000000              6.42641231              0.17311588
        532.000000              6.43375996              0.17311844
        534.000000              6.43776736              0.17248827
        536.000000              6.44544954              0.17492265
        538.000000              6.45219618              0.17458325
        540.000000              6.45786701              0.17588278
        542.000000              6.46424705              0.17763074
        544.000000              6.47156138              0.17893837
        546.000000              6.47789327              0.17795240
        548.000000              6.48520189              0.17954553
        550.000000              6.49182575              0.18236933
        552.000000              6.50071585              0.18341956
        554.000000              6.50754657              0.18367646
        556.000000              6.51356041              0.18393984
        558.000000              6.52182289              0.18438908
        560.000000              6.52853236              0.18506038
        562.000000              6.53399963              0.18636997
        564.000000              6.54093929              0.18899421
        566.000000              6.54735691              0.18758103
        568.000000              6.55457021              0.18904573
        570.000000              6.55904957              0.19000615
        572.000000              6.56578265              0.18994516
        574.000000              6.57398505              0.18796896
        576.000000              6.57955601              0.18641893
        578.000000              6.58674014              0.18668547
        580.000000              6.59499514              0.18689059
        582.000000              6.59987903              0.18712087
        584.000000              6.60536783              0.18731289
