       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
        308.000000             12.72642039              1.75801693
        310.000000             12.78998063              1.76766519
        312.000000             12.84877118              1.78131875
        314.000000             12.91050713              1.79018756
        316.000000             12.97162757              1.80091102
        318.000000             13.03474811              1.81225755
        320.000000             13.09828846              1.82710262
        322.000000             13.16002856              1.83971408
        324.000000             13.22240677              1.85254563
        326.000000             13.28323130              1.86379139
        328.000000             13.34416909              1.87556580
        330.000000             13.40628049              1.88815697
        332.000000             13.46761944              1.90044383
        334.000000             13.52942623              1.91168761
        336.000000             13.59121916              1.92196337
        338.000000             13.65125250              1.93369537
        340.000000             13.71260815              1.94257359
        342.000000             13.77424063              1.95654245
        344.000000             13.83676210              1.96766101
        346.000000             13.89708807              1.98135853
        348.000000             13.95893071              1.99320727
        350.000000             14.02071276              2.00483817
        352.000000             14.08392397              2.01359316
        354.000000             14.14497471              2.02683045
        356.000000             14.20586658              2.03847696
        358.000000             14.26724988              2.05079070
        360.000000             14.32811870              2.06086364
        362.000000             14.38971420              2.07194562
        364.000000             14.44961691              2.08394177
        366.000000             14.51304236              2.09475774
        368.000000             14.57170634              2.10488149
        370.000000             14.63350127              2.11598992
        372.000000             14.69215664              2.12762489
        374.000000             14.74995736              2.13969888
        376.000000             14.80783270              2.14866902
        378.000000             14.86734444              2.15943286
        380.000000             14.92662140              2.17290982
        382.000000             14.98548501              2.18455638
        384.000000             15.04352308              2.19352194
        386.000000             15.10262020              2.20339002
        388.000000             15.16054457              2.21271829
        390.000000             15.21891335              2.22544055
        392.000000             15.28282068              2.23874382
        394.000000             15.34148477              2.25189791
        396.000000             15.40333798              2.26199879
        398.000000             15.46362322              2.27121274
        400.000000             15.52381565              2.28435841
        402.000000             15.58158992              2.29418844
        404.000000             15.64550849              2.30351712
        406.000000             15.70425767              2.31634599
        408.000000             15.76431355              2.32585767
        410.000000             15.82400890              2.33528100
        412.000000             15.88102249              2.34626976
        414.000000             15.94083007              2.35788298
        416.000000             16.00193481              2.37239219
        418.000000             16.06029331              2.38248964
        420.000000             16.11993012              2.39951191
        422.000000             16.17963869              2.41087997
        424.000000             16.23893498              2.42319781
        426.000000             16.29727043              2.43864424
        428.000000             16.35375767              2.45402191
        430.000000             16.41415504              2.46679711
        432.000000             16.47282764              2.47950283
        434.000000             16.53094153              2.49095869
        436.000000             16.59008528              2.50375030
        438.000000             16.64784551              2.51463758
        440.000000             16.70815380              2.52819911
        442.000000             16.76530744              2.54083873
        444.000000             16.82360100              2.55242085
        446.000000             16.88384054              2.56408027
        448.000000             16.94187338              2.57763805
        450.000000             17.00072699              2.58992270
        452.000000             17.06133338              2.60203601
        454.000000             17.11839204              2.61569312
        456.000000             17.17725360              2.62887508
        458.000000             17.23490013              2.64055665
        460.000000             17.29299482              2.65146863
        462.000000             17.35225285              2.66411635
        464.000000             17.41190694              2.68162047
        466.000000             17.46931388              2.69456491
        468.000000             17.52893661              2.71059256
        470.000000             17.58647718              2.72382851
        472.000000             17.64634182              2.73596397
        474.000000             17.70661432              2.75241649
        476.000000             17.76379884              2.76443200
        478.000000             17.82514273              2.78063342
        480.000000             17.88244410              2.79276656
        482.000000             17.93736191              2.80529786
        484.000000             17.99537702              2.81978817
        486.000000             18.05766698              2.83680271
        488.000000             18.11528904              2.85295846
        490.000000             18.17476185              2.86807955
        492.000000             18.23252660              2.87999672
        494.000000             18.29155859              2.89472395
        496.000000             18.35018252              2.91012174
        498.000000             18.40619107              2.92428090
        500.000000             18.46369648              2.93896720
        502.000000             18.52442869              2.95410239
        504.000000             18.58169241              2.96819807
        506.000000             18.63829481              2.98487353
        508.000000             18.69657125              3.00145024
        510.000000             18.75777193              3.01572512
        512.000000             18.81780029              3.03062659
        514.000000             18.87742613              3.04567157
        516.000000             18.93811326              3.06317917
        518.000000             18.99947691              3.07610812
        520.000000             19.05621273              3.09196934
        522.000000             19.11511802              3.10873692
        524.000000             19.17521252              3.12475173
        526.000000             19.23709603              3.14060026
        528.000000             19.29606156              3.15503672
        530.000000             19.35372294              3.17014606
        532.000000             19.41452066              3.18391061
        534.000000             19.47012181              3.19833782
        536.000000             19.53142678              3.21145141
        538.000000             19.59359108              3.22575292
        540.000000             19.65248862              3.24147824
        542.000000             19.71435380              3.25411752
        544.000000             19.77654138              3.26329069
        546.000000             19.83657615              3.27738737
        548.000000             19.89920386              3.29175959
        550.000000             19.95959568              3.30695491
        552.000000             20.02035198              3.32261933
        554.000000             20.08146461              3.33570753
        556.000000             20.14293899              3.35233595
        558.000000             20.20535312              3.36754427
        560.000000             20.26888383              3.38046901
        562.000000             20.32725869              3.39890072
        564.000000             20.38559364              3.41585573
        566.000000             20.44814719              3.43017094
        568.000000             20.50816723              3.44626420
        570.000000             20.56757531              3.46081260
        572.000000             20.62694527              3.47593355
        574.000000             20.68887349              3.49321008
        576.000000             20.74970939              3.50755149
        578.000000             20.81220665              3.52143722
        580.000000             20.87073470              3.53805969
        582.000000             20.92707711              3.55034376
        584.000000             20.98553699              3.56318991
        586.000000             21.04935095              3.57933924
        588.000000             21.10650036              3.59428037
        590.000000             21.16470704              3.60983388
        592.000000             21.22518398              3.62424150
        594.000000             21.28248726              3.63824198
        596.000000             21.34376849              3.65253296
        598.000000             21.40737751              3.66821674
        600.000000             21.46876127              3.68154087
        602.000000             21.53334504              3.69895412
        604.000000             21.59504644              3.71305592
        606.000000             21.65896613              3.72864346
        608.000000             21.72014332              3.74128048
        610.000000             21.78489712              3.75374380
        612.000000             21.84312261              3.76686050
        614.000000             21.90199533              3.78066924
