       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
        308.000000              0.87046867              0.08005437
        310.000000              0.87499409              0.07912570
        312.000000              0.87467627              0.07974370
        314.000000              0.87669757              0.08037587
        316.000000              0.87965744              0.08138302
        318.000000              0.88096284              0.08164176
        320.000000              0.88368712              0.08131758
        322.000000              0.88573041              0.08251062
        324.000000              0.88888820              0.08285784
        326.000000              0.89060842              0.08426982
        328.000000              0.89262000              0.08426656
        330.000000              0.89486219              0.08423148
        332.000000              0.89798739              0.08564868
        334.000000              0.89871768              0.08509187
        336.000000              0.90187394              0.08616165
        338.000000              0.90397516              0.08613000
        340.000000              0.90582603              0.08707725
        342.000000              0.90843771              0.08795165
        344.000000              0.91148460              0.08811293
        346.000000              0.91303130              0.08813453
        348.000000              0.91434052              0.08900861
        350.000000              0.91684714              0.08965418
        352.000000              0.91992736              0.09196623
        354.000000              0.92153077              0.09171934
        356.000000              0.92399216              0.09329067
        358.000000              0.92645172              0.09274910
        360.000000              0.92814268              0.09314298
        362.000000              0.93048601              0.09474204
        364.000000              0.93208864              0.09508827
        366.000000              0.93460227              0.09566247
        368.000000              0.93544902              0.09629755
        370.000000              0.93940646              0.09651450
        372.000000              0.94045187              0.09815578
        374.000000              0.94237249              0.09865899
        376.000000              0.94445302              0.09899919
        378.000000              0.94642151              0.09846009
        380.000000              0.94843037              0.09853598
        382.000000              0.95029772              0.09895429
        384.000000              0.95175315              0.10022954
        386.000000              0.95511704              0.10018373
        388.000000              0.95639504              0.10142572
        390.000000              0.95858865              0.10199857
        392.000000              0.96281546              0.10068706
        394.000000              0.96285211              0.10240944
        396.000000              0.96564746              0.10428733
        398.000000              0.96898560              0.10382365
        400.000000              0.97027342              0.10340494
        402.000000              0.97271636              0.10485558
        404.000000              0.97514691              0.10582046
        406.000000              0.97604429              0.10552620
        408.000000              0.97879542              0.10833980
        410.000000              0.98199741              0.10787710
        412.000000              0.98271567              0.10888646
        414.000000              0.98454597              0.10930342
        416.000000              0.98792806              0.10980857
        418.000000              0.98938676              0.11033230
        420.000000              0.99136981              0.11134141
        422.000000              0.99376239              0.11340644
        424.000000              0.99590805              0.11262832
        426.000000              0.99800117              0.11318016
        428.000000              0.99909522              0.11452301
        430.000000              1.00163921              0.11545568
        432.000000              1.00413699              0.11514485
        434.000000              1.00571705              0.11595742
        436.000000              1.00873447              0.11744042
        438.000000              1.01122407              0.11753481
        440.000000              1.01317602              0.11985377
        442.000000              1.01409313              0.11963573
        444.000000              1.01793425              0.12089509
        446.000000              1.02069423              0.12028411
        448.000000              1.02085303              0.12066879
        450.000000              1.02339033              0.12235169
        452.000000              1.02605716              0.12203068
        454.000000              1.02685778              0.12186435
        456.000000              1.02918804              0.12271118
        458.000000              1.03106849              0.12239130
        460.000000              1.03407458              0.12387456
