# Hop_Value_(h)	PDF
0.00728500	0.07889401
0.01834258	0.15968502
0.02940016	0.28890339
0.04045774	0.47263266
0.05151533	0.70748848
0.06257291	0.98050623
0.07363049	1.27234678
0.08468807	1.56194114
0.09574565	1.83050191
0.10680323	2.06392744
0.11786082	2.25368088
0.12891840	2.39654731
0.13997598	2.49361779
0.15103356	2.54889004
0.16209114	2.56792214
0.17314872	2.55680281
0.18420631	2.52146375
0.19526389	2.46729163
0.20632147	2.39899612
0.21737905	2.32061177
0.22843663	2.23550030
0.23949421	2.14636564
0.25055179	2.05535390
0.26160938	1.96415527
0.27266696	1.87397750
0.28372454	1.78551890
0.29478212	1.69919667
0.30583970	1.61552578
0.31689728	1.53520377
0.32795487	1.45877993
0.33901245	1.38636048
0.35007003	1.31772741
0.36112761	1.25265048
0.37218519	1.19100664
0.38324277	1.13273208
0.39430036	1.07780387
0.40535794	1.02619094
0.41641552	0.97770158
0.42747310	0.93194964
0.43853068	0.88858696
0.44958826	0.84752442
0.46064584	0.80883913
0.47170343	0.77251170
0.48276101	0.73834174
0.49381859	0.70610096
0.50487617	0.67569771
0.51593375	0.64717884
0.52699133	0.62058688
0.53804892	0.59579487
0.54910650	0.57246177
0.56016408	0.55018380
0.57122166	0.52873496
0.58227924	0.50816532
0.59333682	0.48865880
0.60439441	0.47030815
0.61545199	0.45302737
0.62650957	0.43664700
0.63756715	0.42105275
0.64862473	0.40622415
0.65968231	0.39217018
0.67073989	0.37885154
0.68179748	0.36615013
0.69285506	0.35390525
0.70391264	0.34201726
0.71497022	0.33054377
0.72602780	0.31966065
0.73708538	0.30948551
0.74814297	0.29994426
0.75920055	0.29082875
0.77025813	0.28196331
0.78131571	0.27328193
0.79237329	0.26477442
0.80343087	0.25644278
0.81448846	0.24834435
0.82554604	0.24062105
0.83660362	0.23342328
0.84766120	0.22679460
0.85871878	0.22063275
0.86977636	0.21474397
0.88083394	0.20893054
0.89189153	0.20307086
0.90294911	0.19718456
0.91400669	0.19144804
0.92506427	0.18610632
0.93612185	0.18130767
0.94717943	0.17699630
0.95823702	0.17296653
0.96929460	0.16901401
0.98035218	0.16502671
0.99140976	0.16096085
1.00246734	0.15678989
1.01352492	0.15251176
1.02458251	0.14819429
1.03564009	0.14398496
1.04669767	0.14004941
1.05775525	0.13647481
1.06881283	0.13321827
1.07987041	0.13015182
1.09092799	0.12716296
1.10198558	0.12421123
1.11304316	0.12130422
1.12410074	0.11845729
1.13515832	0.11569260
1.14621590	0.11304896
1.15727348	0.11056024
1.16833107	0.10822238
1.17938865	0.10599692
1.19044623	0.10385212
1.20150381	0.10178648
1.21256139	0.09979671
1.22361897	0.09783269
1.23467656	0.09581129
1.24573414	0.09368478
1.25679172	0.09148537
1.26784930	0.08930163
1.27890688	0.08722387
1.28996446	0.08530902
1.30102205	0.08356850
1.31207963	0.08196099
1.32313721	0.08039970
1.33419479	0.07879766
1.34525237	0.07712949
1.35630995	0.07544385
1.36736753	0.07381015
1.37842512	0.07226956
1.38948270	0.07083677
1.40054028	0.06950639
1.41159786	0.06822920
1.42265544	0.06691149
1.43371302	0.06548301
1.44477061	0.06397929
1.45582819	0.06254266
1.46688577	0.06131609
1.47794335	0.06031502
1.48900093	0.05940592
1.50005851	0.05842526
1.51111610	0.05731889
1.52217368	0.05615805
1.53323126	0.05503776
1.54428884	0.05398838
1.55534642	0.05298222
1.56640400	0.05199188
1.57746158	0.05101980
1.58851917	0.05007869
1.59957675	0.04916233
1.61063433	0.04824495
1.62169191	0.04730531
1.63274949	0.04634563
1.64380707	0.04538782
1.65486466	0.04445057
1.66592224	0.04352804
1.67697982	0.04259797
1.68803740	0.04165880
1.69909498	0.04074915
1.71015256	0.03991478
1.72121015	0.03916273
1.73226773	0.03846584
1.74332531	0.03780902
1.75438289	0.03721104
1.76544047	0.03669560
1.77649805	0.03625185
1.78755563	0.03582900
1.79861322	0.03536447
1.80967080	0.03481601
1.82072838	0.03417576
1.83178596	0.03346789
1.84284354	0.03273788
1.85390112	0.03203329
1.86495871	0.03137926
1.87601629	0.03076635
1.88707387	0.03016605
1.89813145	0.02956314
1.90918903	0.02897371
1.92024661	0.02842832
1.93130420	0.02793692
1.94236178	0.02747558
1.95341936	0.02701503
1.96447694	0.02656035
1.97553452	0.02615057
1.98659210	0.02581310
1.99764968	0.02552578
2.00870727	0.02522721
2.01976485	0.02485810
2.03082243	0.02439420
2.04188001	0.02385455
2.05293759	0.02328917
2.06399517	0.02275467
2.07505276	0.02228743
2.08611034	0.02188812
2.09716792	0.02153058
2.10822550	0.02119267
2.11928308	0.02088295
2.13034066	0.02063191
2.14139825	0.02044823
2.15245583	0.02028523
2.16351341	0.02006355
2.17457099	0.01973669
2.18562857	0.01933086
2.19668615	0.01891364
2.20774373	0.01852766
2.21880132	0.01816407
2.22985890	0.01779660
2.24091648	0.01742224
2.25197406	0.01705809
2.26303164	0.01671202
2.27408922	0.01637500
2.28514681	0.01604121
2.29620439	0.01572237
2.30726197	0.01543989
2.31831955	0.01520883
2.32937713	0.01502647
2.34043471	0.01486730
2.35149230	0.01469227
2.36254988	0.01447851
2.37360746	0.01424606
2.38466504	0.01404479
2.39572262	0.01390505
2.40678020	0.01380258
2.41783778	0.01367414
2.42889537	0.01346631
2.43995295	0.01317133
2.45101053	0.01282622
2.46206811	0.01248483
2.47312569	0.01218867
2.48418327	0.01195482
2.49524086	0.01177955
2.50629844	0.01164507
2.51735602	0.01152603
2.52841360	0.01140022
2.53947118	0.01125863
2.55052876	0.01110501
2.56158635	0.01094657
2.57264393	0.01078495
2.58370151	0.01061450
2.59475909	0.01043076
2.60581667	0.01024129
2.61687425	0.01006221
2.62793183	0.00990129
2.63898942	0.00975049
2.65004700	0.00959941
2.66110458	0.00945034
2.67216216	0.00931227
2.68321974	0.00917970
2.69427732	0.00902476
2.70533491	0.00881905
2.71639249	0.00856488
2.72745007	0.00829843
2.73850765	0.00805972
2.74956523	0.00786611
2.76062281	0.00771683
2.77168040	0.00761070
2.78273798	0.00754781
2.79379556	0.00751921
2.80485314	0.00750711
2.81591072	0.00749709
2.82696830	0.00748411
2.83802588	0.00746570
2.84908347	0.00743351
2.86014105	0.00737306
2.87119863	0.00727191
2.88225621	0.00713049
2.89331379	0.00696539
2.90437137	0.00679788
2.91542896	0.00663669
2.92648654	0.00647431
2.93754412	0.00630053
2.94860170	0.00611609
2.95965928	0.00593170
2.97071686	0.00575854
2.98177445	0.00560423
2.99283203	0.00547454
3.00388961	0.00537285
3.01494719	0.00529790
3.02600477	0.00524583
3.03706235	0.00521141
3.04811993	0.00518333
3.05917752	0.00514320
3.07023510	0.00507817
3.08129268	0.00499484
3.09235026	0.00491403
3.10340784	0.00484996
3.11446542	0.00479904
3.12552301	0.00474977
3.13658059	0.00469809
3.14763817	0.00464976
3.15869575	0.00461136
3.16975333	0.00458136
3.18081091	0.00454705
3.19186850	0.00448899
3.20292608	0.00439266
3.21398366	0.00425911
3.22504124	0.00410480
3.23609882	0.00395229
3.24715640	0.00382234
3.25821398	0.00373053
3.26927157	0.00368393
3.28032915	0.00367713
3.29138673	0.00369314
3.30244431	0.00371041
3.31350189	0.00371177
3.32455947	0.00369015
3.33561706	0.00364741
3.34667464	0.00358605
3.35773222	0.00350265
3.36878980	0.00339427
3.37984738	0.00327402
3.39090496	0.00317491
3.40196255	0.00313126
3.41302013	0.00315241
3.42407771	0.00321307
3.43513529	0.00326759
3.44619287	0.00327583
3.45725045	0.00322304
3.46830804	0.00312487
3.47936562	0.00301852
3.49042320	0.00294454
3.50148078	0.00292578
3.51253836	0.00295505
3.52359594	0.00300067
3.53465352	0.00302641
3.54571111	0.00301163
3.55676869	0.00295764
3.56782627	0.00287800
3.57888385	0.00278460
3.58994143	0.00268357
3.60099901	0.00258074
3.61205660	0.00248517
3.62311418	0.00240577
3.63417176	0.00234679
3.64522934	0.00230683
3.65628692	0.00228051
3.66734450	0.00226076
3.67840209	0.00224114
3.68945967	0.00221871
3.70051725	0.00219615
3.71157483	0.00217893
3.72263241	0.00216769
3.73368999	0.00215453
3.74474757	0.00212898
3.75580516	0.00208609
3.76686274	0.00202810
3.77792032	0.00196192
3.78897790	0.00189760
3.80003548	0.00184680
3.81109306	0.00181799
3.82215065	0.00180986
3.83320823	0.00180841
3.84426581	0.00179388
3.85532339	0.00175599
3.86638097	0.00170435
3.87743855	0.00166185
3.88849614	0.00164635
3.89955372	0.00165747
3.91061130	0.00167791
3.92166888	0.00168636
3.93272646	0.00167202
3.94378404	0.00163867
3.95484162	0.00159585
3.96589921	0.00154902
3.97695679	0.00150063
3.98801437	0.00145761
3.99907195	0.00143155
4.01012953	0.00142930
4.02118711	0.00144494
4.03224470	0.00146275
4.04330228	0.00146848
4.05435986	0.00145812
4.06541744	0.00143781
4.07647502	0.00141734
4.08753260	0.00140368
4.09859019	0.00139846
4.10964777	0.00139878
4.12070535	0.00139929
4.13176293	0.00139470
4.14282051	0.00138279
4.15387809	0.00136595
4.16493567	0.00134843
4.17599326	0.00133184
4.18705084	0.00131403
4.19810842	0.00129268
4.20916600	0.00126906
4.22022358	0.00124785
4.23128116	0.00123246
4.24233875	0.00121998
4.25339633	0.00120187
4.26445391	0.00117159
4.27551149	0.00113130
4.28656907	0.00109044
4.29762665	0.00105810
4.30868424	0.00103719
4.31974182	0.00102460
4.33079940	0.00101511
4.34185698	0.00100617
4.35291456	0.00099946
4.36397214	0.00099695
4.37502972	0.00099577
4.38608731	0.00098983
4.39714489	0.00097697
4.40820247	0.00096120
4.41926005	0.00094656
4.43031763	0.00093181
4.44137521	0.00091319
4.45243280	0.00089062
4.46349038	0.00086876
4.47454796	0.00085318
4.48560554	0.00084719
4.49666312	0.00085127
4.50772070	0.00086244
4.51877829	0.00087339
4.52983587	0.00087496
4.54089345	0.00086213
4.55195103	0.00083806
4.56300861	0.00081161
4.57406619	0.00078973
4.58512377	0.00077191
4.59618136	0.00075203
4.60723894	0.00072527
4.61829652	0.00069256
4.62935410	0.00065995
4.64041168	0.00063478
4.65146926	0.00062175
4.66252685	0.00062081
4.67358443	0.00062830
4.68464201	0.00064017
4.69569959	0.00065450
4.70675717	0.00067054
4.71781475	0.00068517
4.72887234	0.00069102
4.73992992	0.00068086
4.75098750	0.00065466
4.76204508	0.00062083
4.77310266	0.00058944
4.78416024	0.00056555
4.79521782	0.00054884
4.80627541	0.00053708
4.81733299	0.00052846
4.82839057	0.00052146
4.83944815	0.00051397
4.85050573	0.00050392
4.86156331	0.00049149
4.87262090	0.00048024
4.88367848	0.00047468
4.89473606	0.00047590
4.90579364	0.00048074
4.91685122	0.00048520
4.92790880	0.00048705
4.93896639	0.00048494
4.95002397	0.00047750
4.96108155	0.00046531
4.97213913	0.00045269
4.98319671	0.00044559
4.99425429	0.00044632
5.00531187	0.00045071
5.01636946	0.00045163
5.02742704	0.00044618
5.03848462	0.00043868
5.04954220	0.00043608
5.06059978	0.00044080
5.07165736	0.00044845
5.08271495	0.00045191
5.09377253	0.00044759
5.10483011	0.00043807
5.11588769	0.00042858
5.12694527	0.00042158
5.13800285	0.00041531
5.14906044	0.00040685
5.16011802	0.00039510
5.17117560	0.00038059
5.18223318	0.00036354
5.19329076	0.00034340
5.20434834	0.00032038
5.21540592	0.00029698
5.22646351	0.00027752
5.23752109	0.00026610
5.24857867	0.00026496
5.25963625	0.00027350
5.27069383	0.00028776
5.28175141	0.00030166
5.29280900	0.00031097
5.30386658	0.00031683
5.31492416	0.00032405
5.32598174	0.00033497
5.33703932	0.00034549
5.34809690	0.00034818
5.35915449	0.00033938
5.37021207	0.00032303
5.38126965	0.00030701
5.39232723	0.00029581
5.40338481	0.00028723
5.41444239	0.00027637
5.42549997	0.00026189
5.43655756	0.00024763
5.44761514	0.00023871
5.45867272	0.00023657
5.46973030	0.00023723
5.48078788	0.00023400
5.49184546	0.00022270
5.50290305	0.00020548
5.51396063	0.00018955
5.52501821	0.00018159
5.53607579	0.00018230
5.54713337	0.00018633
5.55819095	0.00018737
5.56924854	0.00018358
5.58030612	0.00017797
5.59136370	0.00017416
5.60242128	0.00017279
5.61347886	0.00017191
5.62453644	0.00016969
5.63559403	0.00016638
5.64665161	0.00016392
5.65770919	0.00016418
5.66876677	0.00016734
5.67982435	0.00017160
5.69088193	0.00017449
5.70193951	0.00017464
5.71299710	0.00017259
5.72405468	0.00017040
5.73511226	0.00017026
5.74616984	0.00017279
5.75722742	0.00017619
5.76828500	0.00017720
5.77934259	0.00017291
5.79040017	0.00016222
5.80145775	0.00014677
5.81251533	0.00013108
5.82357291	0.00012132
5.83463049	0.00012215
5.84568808	0.00013351
5.85674566	0.00015029
5.86780324	0.00016580
5.87886082	0.00017636
5.88991840	0.00018335
5.90097598	0.00019079
5.91203356	0.00020034
5.92309115	0.00020803
5.93414873	0.00020655
5.94520631	0.00019182
5.95626389	0.00016709
5.96732147	0.00014048
5.97837905	0.00011909
