# Hop_Value_(h)	PDF
3.35345259	0.00389155
3.36607974	0.00383386
3.37870689	0.00379953
3.39133405	0.00377890
3.40396120	0.00376604
3.41658835	0.00375040
3.42921550	0.00371788
3.44184266	0.00366015
3.45446981	0.00357997
3.46709696	0.00348728
3.47972412	0.00339409
3.49235127	0.00331523
3.50497842	0.00326766
3.51760558	0.00325706
3.53023273	0.00326317
3.54285988	0.00324773
3.55548704	0.00318270
3.56811419	0.00307073
3.58074134	0.00294175
3.59336850	0.00283405
3.60599565	0.00277274
3.61862280	0.00275497
3.63124995	0.00275170
3.64387711	0.00272747
3.65650426	0.00266480
3.66913141	0.00257532
3.68175857	0.00248741
3.69438572	0.00242049
3.70701287	0.00237425
3.71964003	0.00234229
3.73226718	0.00232585
3.74489433	0.00233033
3.75752149	0.00235638
3.77014864	0.00239623
3.78277579	0.00243267
3.79540295	0.00244364
3.80803010	0.00241422
3.82065725	0.00234382
3.83328441	0.00224250
3.84591156	0.00212753
3.85853871	0.00202352
3.87116586	0.00195607
3.88379302	0.00193761
3.89642017	0.00195596
3.90904732	0.00197650
3.92167448	0.00196367
3.93430163	0.00190837
3.94692878	0.00183330
3.95955594	0.00176885
3.97218309	0.00172796
3.98481024	0.00170484
3.99743740	0.00168866
4.01006455	0.00167139
4.02269170	0.00164780
4.03531886	0.00161608
4.04794601	0.00157836
4.06057316	0.00153868
4.07320032	0.00150212
4.08582747	0.00147562
4.09845462	0.00146459
4.11108177	0.00146723
4.12370893	0.00147494
4.13633608	0.00147961
4.14896323	0.00147968
4.16159039	0.00147830
4.17421754	0.00147610
4.18684469	0.00146821
4.19947185	0.00145045
4.21209900	0.00142540
4.22472615	0.00139877
4.23735331	0.00137310
4.24998046	0.00134820
4.26260761	0.00132322
4.27523477	0.00129517
4.28786192	0.00126047
4.30048907	0.00122102
4.31311623	0.00118469
4.32574338	0.00115651
4.33837053	0.00113288
4.35099768	0.00110830
4.36362484	0.00108393
4.37625199	0.00106370
4.38887914	0.00104521
4.40150630	0.00102167
4.41413345	0.00099244
4.42676060	0.00096592
4.43938776	0.00095236
4.45201491	0.00095699
4.46464206	0.00097693
4.47726922	0.00099861
4.48989637	0.00100141
4.50252352	0.00097192
4.51515068	0.00091552
4.52777783	0.00085199
4.54040498	0.00080096
4.55303214	0.00077084
4.56565929	0.00075764
4.57828644	0.00075353
4.59091359	0.00075526
4.60354075	0.00076181
4.61616790	0.00076703
4.62879505	0.00076215
4.64142221	0.00074513
4.65404936	0.00072178
4.66667651	0.00069859
4.67930367	0.00067982
4.69193082	0.00067054
4.70455797	0.00067509
4.71718513	0.00068997
4.72981228	0.00070251
4.74243943	0.00069996
4.75506659	0.00067949
4.76769374	0.00064972
4.78032089	0.00062408
4.79294805	0.00061166
4.80557520	0.00061106
4.81820235	0.00061268
4.83082950	0.00060911
4.84345666	0.00060344
4.85608381	0.00060310
4.86871096	0.00060506
4.88133812	0.00059348
4.89396527	0.00055706
4.90659242	0.00050607
4.91921958	0.00046692
4.93184673	0.00045823
4.94447388	0.00047628
4.95710104	0.00050454
4.96972819	0.00053130
4.98235534	0.00055339
4.99498250	0.00056882
5.00760965	0.00057386
5.02023680	0.00056771
5.03286395	0.00055454
5.04549111	0.00053859
5.05811826	0.00051932
5.07074541	0.00049301
5.08337257	0.00045878
5.09599972	0.00042232
5.10862687	0.00039337
5.12125403	0.00037938
5.13388118	0.00038102
5.14650833	0.00039190
5.15913549	0.00040149
5.17176264	0.00040039
5.18438979	0.00038660
5.19701695	0.00036810
5.20964410	0.00035658
5.22227125	0.00035687
5.23489841	0.00036335
5.24752556	0.00036646
5.26015271	0.00036096
5.27277986	0.00034904
5.28540702	0.00033770
5.29803417	0.00033330
5.31066132	0.00033754
5.32328848	0.00034829
5.33591563	0.00036271
5.34854278	0.00037735
5.36116994	0.00038701
5.37379709	0.00038709
5.38642424	0.00037719
5.39905140	0.00036045
5.41167855	0.00034019
5.42430570	0.00031942
5.43693286	0.00030205
5.44956001	0.00029192
5.46218716	0.00028990
5.47481432	0.00029371
5.48744147	0.00030106
5.50006862	0.00031198
5.51269577	0.00032701
5.52532293	0.00034331
5.53795008	0.00035342
5.55057723	0.00034982
5.56320439	0.00033150
5.57583154	0.00030499
5.58845869	0.00027883
5.60108585	0.00025789
5.61371300	0.00024240
5.62634015	0.00023097
5.63896731	0.00022400
5.65159446	0.00022353
5.66422161	0.00022880
5.67684877	0.00023425
5.68947592	0.00023409
5.70210307	0.00022806
5.71473023	0.00022035
5.72735738	0.00021330
5.73998453	0.00020501
5.75261168	0.00019385
5.76523884	0.00018365
5.77786599	0.00018202
5.79049314	0.00019314
5.80312030	0.00021275
5.81574745	0.00023063
5.82837460	0.00023736
5.84100176	0.00022903
5.85362891	0.00020841
5.86625606	0.00018324
5.87888322	0.00016174
5.89151037	0.00014778
5.90413752	0.00014043
5.91676468	0.00013772
5.92939183	0.00013920
5.94201898	0.00014485
5.95464614	0.00015325
5.96727329	0.00016212
5.97990044	0.00016954
5.99252759	0.00017341
6.00515475	0.00017140
6.01778190	0.00016280
6.03040905	0.00014963
6.04303621	0.00013494
6.05566336	0.00012169
6.06829051	0.00011302
6.08091767	0.00011107
6.09354482	0.00011427
6.10617197	0.00011766
6.11879913	0.00011726
6.13142628	0.00011330
6.14405343	0.00010815
6.15668059	0.00010263
6.16930774	0.00009633
6.18193489	0.00009037
6.19456205	0.00008728
6.20718920	0.00008823
6.21981635	0.00009214
6.23244350	0.00009775
6.24507066	0.00010528
6.25769781	0.00011509
6.27032496	0.00012525
6.28295212	0.00013149
6.29557927	0.00013011
6.30820642	0.00012119
6.32083358	0.00010896
6.33346073	0.00009903
