# Hop_Value_(h)	PDF
0.00363700	0.05285380
0.01469343	0.11850365
0.02574986	0.23283804
0.03680629	0.40661032
0.04786271	0.64032022
0.05891914	0.92240141
0.06997557	1.23211499
0.08103200	1.54527037
0.09208843	1.83976082
0.10314486	2.09892247
0.11420128	2.31253613
0.12525771	2.47634141
0.13631414	2.59087893
0.14737057	2.66006329
0.15842700	2.68966613
0.16948343	2.68588675
0.18053985	2.65436521
0.19159628	2.59999559
0.20265271	2.52737731
0.21370914	2.44124187
0.22476557	2.34636814
0.23582200	2.24704634
0.24687843	2.14648535
0.25793485	2.04657122
0.26899128	1.94816096
0.28004771	1.85169915
0.29110414	1.75768521
0.30216057	1.66675678
0.31321700	1.57957565
0.32427342	1.49672989
0.33532985	1.41861684
0.34638628	1.34523341
0.35744271	1.27605923
0.36849914	1.21033896
0.37955557	1.14767219
0.39061199	1.08832308
0.40166842	1.03284303
0.41272485	0.98137334
0.42378128	0.93340806
0.43483771	0.88825944
0.44589414	0.84562753
0.45695057	0.80563494
0.46800699	0.76840934
0.47906342	0.73374658
0.49011985	0.70115641
0.50117628	0.67017618
0.51223271	0.64062740
0.52328914	0.61256709
0.53434556	0.58603394
0.54540199	0.56093851
0.55645842	0.53718763
0.56751485	0.51474712
0.57857128	0.49352386
0.58962771	0.47334969
0.60068414	0.45417596
0.61174056	0.43616797
0.62279699	0.41951557
0.63385342	0.40418076
0.64490985	0.38984430
0.65596628	0.37607861
0.66702271	0.36260077
0.67807913	0.34942336
0.68913556	0.33680093
0.70019199	0.32501636
0.71124842	0.31416644
0.72230485	0.30410311
0.73336128	0.29455059
0.74441770	0.28527422
0.75547413	0.27616822
0.76653056	0.26723591
0.77758699	0.25853340
0.78864342	0.25013831
0.79969985	0.24212674
0.81075628	0.23451949
0.82181270	0.22723655
0.83286913	0.22015491
0.84392556	0.21324997
0.85498199	0.20663758
0.86603842	0.20043317
0.87709485	0.19461058
0.88815127	0.18904009
0.89920770	0.18363191
0.91026413	0.17841137
0.92132056	0.17346378
0.93237699	0.16880459
0.94343342	0.16429809
0.95448984	0.15973484
0.96554627	0.15503170
0.97660270	0.15035580
0.98765913	0.14600467
0.99871556	0.14213012
