# Hop_Value_(h)	PDF
0.00487900	0.06121181
0.01632450	0.13324352
0.02777000	0.25533138
0.03921550	0.43655644
0.05066101	0.67512593
0.06210651	0.95720975
0.07355201	1.26050289
0.08499751	1.56035316
0.09644301	1.83539011
0.10788851	2.07078731
0.11933402	2.25891573
0.13077952	2.39815286
0.14222502	2.49096604
0.15367052	2.54214176
0.16511602	2.55745109
0.17656152	2.54272842
0.18800702	2.50345189
0.19945253	2.44483971
0.21089803	2.37198726
0.22234353	2.28953445
0.23378903	2.20110140
0.24523453	2.10916499
0.25668003	2.01553624
0.26812553	1.92187720
0.27957104	1.82967853
0.29101654	1.73988502
0.30246204	1.65287683
0.31390754	1.56892797
0.32535304	1.48849639
0.33679854	1.41201151
0.34824405	1.33959069
0.35968955	1.27108578
0.37113505	1.20628672
0.38258055	1.14499738
0.39402605	1.08705365
0.40547155	1.03242843
0.41691705	0.98128117
0.42836256	0.93376272
0.43980806	0.88972752
0.45125356	0.84868678
0.46269906	0.81006150
0.47414456	0.77346532
0.48559006	0.73877964
0.49703556	0.70603018
0.50848107	0.67520491
0.51992657	0.64615107
0.53137207	0.61863875
0.54281757	0.59252601
0.55426307	0.56782772
0.56570857	0.54460402
0.57715408	0.52280484
0.58859958	0.50223950
0.60004508	0.48269431
0.61149058	0.46406180
0.62293608	0.44633142
0.63438158	0.42948362
0.64582708	0.41345906
0.65727259	0.39822177
0.66871809	0.38377420
0.68016359	0.37007832
0.69160909	0.35700491
0.70305459	0.34441381
0.71450009	0.33228983
0.72594559	0.32075888
0.73739110	0.30994998
0.74883660	0.29986631
0.76028210	0.29039440
0.77172760	0.28140321
0.78317310	0.27282190
0.79461860	0.26463638
0.80606411	0.25682713
0.81750961	0.24933733
0.82895511	0.24209694
0.84040061	0.23502175
0.85184611	0.22799481
0.86329161	0.22094656
0.87473711	0.21398567
0.88618262	0.20737466
0.89762812	0.20133155
0.90907362	0.19586507
0.92051912	0.19078070
0.93196462	0.18582263
0.94341012	0.18084681
0.95485562	0.17590608
0.96630113	0.17118623
0.97774663	0.16685160
0.98919213	0.16291609
1.00063763	0.15921923
1.01208313	0.15551820
1.02352863	0.15163306
1.03497414	0.14754016
1.04641964	0.14334488
