# Hop_Value_(h)	PDF
0.00781700	0.08195183
0.02188184	0.19866012
0.03594668	0.40152886
0.05001152	0.69395972
0.06407636	1.05175316
0.07814120	1.43160355
0.09220604	1.78824238
0.10627088	2.08848977
0.12033572	2.31591445
0.13440056	2.46784714
0.14846540	2.55019687
0.16253024	2.57350792
0.17659508	2.55031179
0.19065992	2.49272764
0.20472476	2.41046653
0.21878960	2.31058526
0.23285444	2.19905871
0.24691928	2.08200128
0.26098412	1.96487404
0.27504896	1.85080795
0.28911380	1.74051441
0.30317864	1.63419117
0.31724348	1.53284051
0.33130832	1.43739124
0.34537316	1.34755878
0.35943800	1.26249667
0.37350284	1.18229156
0.38756768	1.10804931
0.40163252	1.04050257
0.41569736	0.97917635
0.42976220	0.92287711
0.44382704	0.87040904
0.45789187	0.82096269
0.47195671	0.77439321
0.48602155	0.73099452
0.50008639	0.69083002
0.51415123	0.65365564
0.52821607	0.61931380
0.54228091	0.58771845
0.55634575	0.55855731
0.57041059	0.53127326
0.58447543	0.50544660
0.59854027	0.48110390
0.61260511	0.45849463
0.62666995	0.43767815
0.64073479	0.41835028
0.65479963	0.39995520
0.66886447	0.38213983
0.68292931	0.36509788
0.69699415	0.34919505
0.71105899	0.33437166
0.72512383	0.32022584
0.73918867	0.30659237
0.75325351	0.29372720
0.76731835	0.28191987
0.78138319	0.27116653
0.79544803	0.26120827
0.80951287	0.25170176
0.82357771	0.24240699
0.83764255	0.23331474
0.85170739	0.22455994
0.86577223	0.21625264
0.87983707	0.20841188
0.89390191	0.20096132
0.90796675	0.19379793
0.92203159	0.18694888
0.93609643	0.18056422
0.95016127	0.17461018
0.96422611	0.16878575
0.97829095	0.16298395
0.99235579	0.15750638
1.00642063	0.15252321
1.02048547	0.14771233
1.03455031	0.14274529
1.04861515	0.13777664
1.06267999	0.13322163
1.07674483	0.12927339
1.09080967	0.12572159
1.10487451	0.12218464
1.11893935	0.11848661
1.13300419	0.11473579
1.14706903	0.11109060
1.16113387	0.10758144
1.17519871	0.10417545
1.18926355	0.10092982
1.20332839	0.09800049
1.21739323	0.09549682
1.23145807	0.09334397
1.24552291	0.09129359
1.25958775	0.08910212
1.27365259	0.08669203
1.28771743	0.08410588
1.30178227	0.08142191
1.31584711	0.07880545
