# Ensemble-averaged hop function h(t) for species: Na
# Window size = 6 frames, Timestep =     2.0000 ps
            # Time (ps)   h(t)_mean (Angstrom^2)    h(t)_std (Angstrom^2)
              8.00000000           1.188074477056           0.087945550012
             10.00000000           1.172725173595           0.040988861511
             12.00000000           1.133022195069           0.076973461351
             14.00000000           1.119706152090           0.131354352342
             16.00000000           1.143605922417           0.074939250212
             18.00000000           1.199080986150           0.052966238724
             20.00000000           1.184439409479           0.110269351922
             22.00000000           1.165588711335           0.060778580486
             24.00000000           1.190128856430           0.124497691320
             26.00000000           1.251042503115           0.133723912809
             28.00000000           1.240321022114           0.064900371311
             30.00000000           1.200997711495           0.123843008322
             32.00000000           1.171576808306           0.134993994469
             34.00000000           1.148900289822           0.116798958661
             36.00000000           1.162258174369           0.113857130518
             38.00000000           1.164014185188           0.098712643865
             40.00000000           1.141543194210           0.082868683177
             42.00000000           1.156238860680           0.065280812946
             44.00000000           1.154562343759           0.100690471270
             46.00000000           1.196237235238           0.120375675179
             48.00000000           1.181892859652           0.151160539911
             50.00000000           1.159900796679           0.164020660975
             52.00000000           1.162407795348           0.183631683416
             54.00000000           1.188170199325           0.164089016626
             56.00000000           1.177472378156           0.117335346393
             58.00000000           1.161274663528           0.111078002529
             60.00000000           1.150165953990           0.129187394008
             62.00000000           1.172413442779           0.161523423339
             64.00000000           1.195915380593           0.168575996672
             66.00000000           1.232012949341           0.192069423446
             68.00000000           1.221240011076           0.205627579185
             70.00000000           1.192739332497           0.191073916091
             72.00000000           1.153515352332           0.155029752424
             74.00000000           1.118604725554           0.144204376554
             76.00000000           1.122173075245           0.158324968694
             78.00000000           1.121063331372           0.166054282671
             80.00000000           1.121390107387           0.175908900596
             82.00000000           1.192718702412           0.173289829192
             84.00000000           1.206386031925           0.153035487543
             86.00000000           1.209025104359           0.166378900731
             88.00000000           1.189302464337           0.175556913463
             90.00000000           1.136092430677           0.153540315109
             92.00000000           1.088255089199           0.093539939881
             94.00000000           1.116065307279           0.093728672117
             96.00000000           1.141483646525           0.068894077469
             98.00000000           1.110512599037           0.053185787955
            100.00000000           1.122635883467           0.071632447658
            102.00000000           1.140409236215           0.144116299807
            104.00000000           1.132059765211           0.158964393328
            106.00000000           1.172350296984           0.143424745256
            108.00000000           1.184733551407           0.094856923708
            110.00000000           1.201360358002           0.072989026399
            112.00000000           1.257478304803           0.126633373473
            114.00000000           1.201111138405           0.103139395139
            116.00000000           1.122713786260           0.075863086431
            118.00000000           1.102262020699           0.054239496883
            120.00000000           1.131289743892           0.091916477520
            122.00000000           1.181678750500           0.126331443390
            124.00000000           1.201654533884           0.101640823658
            126.00000000           1.168863558103           0.066417500227
            128.00000000           1.107338571354           0.072288026407
            130.00000000           1.069909969041           0.077150053767
            132.00000000           1.123287175116           0.070143166632
            134.00000000           1.124737892571           0.099789127307
            136.00000000           1.097223704007           0.087789353788
            138.00000000           1.076566722309           0.114022663339
            140.00000000           1.082969004696           0.135949464266
            142.00000000           1.150485899572           0.180326151182
            144.00000000           1.188511336293           0.170373398779
            146.00000000           1.170712240330           0.116950831911
            148.00000000           1.169987274433           0.115583908760
            150.00000000           1.158104917686           0.159913044525
            152.00000000           1.175399709297           0.169684876972
            154.00000000           1.195793596997           0.119114997837
            156.00000000           1.177495552144           0.091142337599
            158.00000000           1.150815946755           0.141880395445
            160.00000000           1.161938916147           0.195074342914
            162.00000000           1.155120037803           0.181989667298
            164.00000000           1.221590080677           0.155844552100
            166.00000000           1.249373676295           0.151057672025
            168.00000000           1.186195474598           0.125259674192
            170.00000000           1.176589728519           0.097314655252
            172.00000000           1.208245040162           0.078122205643
            174.00000000           1.234176721606           0.049521919313
            176.00000000           1.173431801127           0.054468876743
            178.00000000           1.109652998328           0.054765252433
            180.00000000           1.105490432946           0.026252497637
            182.00000000           1.152832658627           0.074963912419
            184.00000000           1.213912495004           0.052475834830
            186.00000000           1.220730395475           0.053151772612
            188.00000000           1.189173960372           0.046661807913
            190.00000000           1.173765386461           0.056406615659
            192.00000000           1.155221038322           0.088130507225
            194.00000000           1.116983033664           0.106865591323
            196.00000000           1.135414644343           0.099136096036
            198.00000000           1.161911832468           0.105299445777
            200.00000000           1.175936723551           0.094347222083
            202.00000000           1.156851776323           0.019245912701
            204.00000000           1.169167856321           0.067326566595
            206.00000000           1.187348987204           0.088057590966
            208.00000000           1.121236763107           0.062517802699
            210.00000000           1.079005210549           0.051921887942
            212.00000000           1.118980697593           0.068800736923
            214.00000000           1.162528837847           0.087107037261
