# Ensemble-averaged hop function h(t) for species: Na
# Window size = 6 frames, Timestep =     2.0000 ps
            # Time (ps)   h(t)_mean (Angstrom^2)    h(t)_std (Angstrom^2)
              8.00000000           1.215653640173           0.158252822313
             10.00000000           1.249753137195           0.149363002169
             12.00000000           1.241208435052           0.146851986378
             14.00000000           1.246685190175           0.126058244367
             16.00000000           1.270013889596           0.170619139744
             18.00000000           1.279037625454           0.180543674263
             20.00000000           1.215281073643           0.114444356944
             22.00000000           1.217873501072           0.094988939816
             24.00000000           1.253304219850           0.134602229483
             26.00000000           1.229177152306           0.115265348309
             28.00000000           1.157353321660           0.106264901871
             30.00000000           1.142827950756           0.158028248885
             32.00000000           1.187559383723           0.217205863646
             34.00000000           1.213676032949           0.207215267377
             36.00000000           1.204723612014           0.147272948201
             38.00000000           1.164870992975           0.099330104281
             40.00000000           1.152698767884           0.065438691892
             42.00000000           1.179612141790           0.090664770708
             44.00000000           1.206961040649           0.113535902728
             46.00000000           1.228267442185           0.055198119809
             48.00000000           1.244202788515           0.059834453871
             50.00000000           1.208102948416           0.076985559995
             52.00000000           1.205497169477           0.027001102672
             54.00000000           1.188260360915           0.076759834710
             56.00000000           1.157902741962           0.113679774040
             58.00000000           1.135627202957           0.096166179043
             60.00000000           1.144213171348           0.086058392659
             62.00000000           1.130567073519           0.055491153916
             64.00000000           1.165076137511           0.066525453992
             66.00000000           1.188868031432           0.043461873113
             68.00000000           1.141629582276           0.089847832104
             70.00000000           1.161027964629           0.099449050319
             72.00000000           1.164928446399           0.068406956367
             74.00000000           1.137956680073           0.068023741182
             76.00000000           1.129214450576           0.091096228773
             78.00000000           1.161988017490           0.168033347355
             80.00000000           1.197871210116           0.161079642767
             82.00000000           1.235060709027           0.135947002186
             84.00000000           1.214080767238           0.096633835731
             86.00000000           1.220551683088           0.088255043528
             88.00000000           1.198051379597           0.055704237184
             90.00000000           1.210208207972           0.058984387398
             92.00000000           1.236886618067           0.080694553443
             94.00000000           1.254067329058           0.115372221877
             96.00000000           1.233757489538           0.092042839729
             98.00000000           1.227431694620           0.055684015236
            100.00000000           1.230683787894           0.051569403315
            102.00000000           1.227796159695           0.086998864903
            104.00000000           1.175721055391           0.048119135042
            106.00000000           1.126056692949           0.051737278867
            108.00000000           1.148949343407           0.050294074646
            110.00000000           1.191973982587           0.095839185583
            112.00000000           1.217279419465           0.086818925685
            114.00000000           1.227585553082           0.112417209134
            116.00000000           1.220766573420           0.134224057562
            118.00000000           1.212938736845           0.116252504972
            120.00000000           1.222050646521           0.130225780634
            122.00000000           1.208944697745           0.175955122224
            124.00000000           1.205724411105           0.128365334344
            126.00000000           1.226535452977           0.109622705965
            128.00000000           1.238417343587           0.121353331425
            130.00000000           1.244365524625           0.182981345410
            132.00000000           1.222880454580           0.139284154951
            134.00000000           1.186647542465           0.088512421187
            136.00000000           1.218704194458           0.122630776793
            138.00000000           1.240437756008           0.146474668498
            140.00000000           1.224123210645           0.164965313573
            142.00000000           1.242738073082           0.198316127770
            144.00000000           1.230029840700           0.232960661719
            146.00000000           1.197676441980           0.179404182920
            148.00000000           1.167689799534           0.114217102445
            150.00000000           1.144094710607           0.137660316595
            152.00000000           1.097523316981           0.167903306565
            154.00000000           1.086982858509           0.156035422261
            156.00000000           1.071866153342           0.084199862108
            158.00000000           1.100706714925           0.035570671651
            160.00000000           1.154394737774           0.060929675080
            162.00000000           1.212424085007           0.123737491471
            164.00000000           1.227775059394           0.107043027889
            166.00000000           1.240156130562           0.096490118651
            168.00000000           1.228214171846           0.103603866020
            170.00000000           1.193778906713           0.036143851216
            172.00000000           1.179741666529           0.026857982759
            174.00000000           1.205650553672           0.034171999217
            176.00000000           1.213556203680           0.069469500748
            178.00000000           1.215375881307           0.098856284514
            180.00000000           1.193926368544           0.063336242076
            182.00000000           1.140013838396           0.087633796360
            184.00000000           1.109848531306           0.109501505890
            186.00000000           1.094941959531           0.116009583589
            188.00000000           1.067744894837           0.129539950727
            190.00000000           1.097838446023           0.121381021355
            192.00000000           1.149038584941           0.150183233506
            194.00000000           1.138872044493           0.176986039836
            196.00000000           1.162807017239           0.114418432205
            198.00000000           1.205926845950           0.073337906747
            200.00000000           1.196650914570           0.091518092315
            202.00000000           1.170035916785           0.116702948736
            204.00000000           1.188261297242           0.120206992478
            206.00000000           1.215138896632           0.093201348549
            208.00000000           1.215501186239           0.089723268032
            210.00000000           1.197831951774           0.104533325392
            212.00000000           1.198991303633           0.070053272236
            214.00000000           1.177981731035           0.038908286675
            216.00000000           1.161917031915           0.068091423236
            218.00000000           1.128832926609           0.085858100941
            220.00000000           1.151208404728           0.064821567773
            222.00000000           1.144013125471           0.093083307284
            224.00000000           1.148025556441           0.087406378636
            226.00000000           1.137184250707           0.120336337927
            228.00000000           1.137171827044           0.128190928304
            230.00000000           1.156845811062           0.140745039486
            232.00000000           1.162064245078           0.096608919766
            234.00000000           1.200960485125           0.051860440620
            236.00000000           1.223852611158           0.057276567126
            238.00000000           1.212042831599           0.080120442673
            240.00000000           1.180441429628           0.136081196450
            242.00000000           1.198104643361           0.162305037340
            244.00000000           1.187913944056           0.118511728476
            246.00000000           1.175467647739           0.152096970163
            248.00000000           1.186843145579           0.196151432463
            250.00000000           1.258151548018           0.202830297886
            252.00000000           1.274933803236           0.221471685177
            254.00000000           1.209294974054           0.186388101050
            256.00000000           1.165449595398           0.150687713292
            258.00000000           1.153519522077           0.086629092980
            260.00000000           1.184746355027           0.098048133219
            262.00000000           1.180586428630           0.132232998811
            264.00000000           1.210721382175           0.157049337621
            266.00000000           1.194388585964           0.131801503443
            268.00000000           1.146362413258           0.093630094490
            270.00000000           1.101961677194           0.102675221078
            272.00000000           1.134737166600           0.098699218434
            274.00000000           1.177149641164           0.118497794417
            276.00000000           1.215662708662           0.151597760971
            278.00000000           1.209491061943           0.097835846083
            280.00000000           1.220514073995           0.086708516712
            282.00000000           1.259810569643           0.102262505135
            284.00000000           1.265361420982           0.138398368433
            286.00000000           1.208173161995           0.160864047311
            288.00000000           1.196992315794           0.151875518225
            290.00000000           1.200077729793           0.222320283046
            292.00000000           1.196554014253           0.223453401247
            294.00000000           1.187095545123           0.202123932023
            296.00000000           1.236841498919           0.197548582504
            298.00000000           1.227952654544           0.166638256202
            300.00000000           1.169378422098           0.123341403414
            302.00000000           1.126918445755           0.115948601956
            304.00000000           1.127735781189           0.074669969664
            306.00000000           1.177658119477           0.095612805538
            308.00000000           1.188080024347           0.154296076804
            310.00000000           1.156614209219           0.164197983722
            312.00000000           1.104953541604           0.104416989166
            314.00000000           1.122871429801           0.077052397033
            316.00000000           1.155507823000           0.079980093579
            318.00000000           1.214685416704           0.098893030571
            320.00000000           1.256622604954           0.118892246519
            322.00000000           1.217420090907           0.091150324919
            324.00000000           1.214686996021           0.099120149626
            326.00000000           1.219613155605           0.132906246442
            328.00000000           1.217866563688           0.115670946101
            330.00000000           1.215394376203           0.133043527171
            332.00000000           1.200981521386           0.140993530404
            334.00000000           1.191409080280           0.098331182246
            336.00000000           1.184543382754           0.070345720239
            338.00000000           1.183305498613           0.116191583104
            340.00000000           1.233434591664           0.121538740493
            342.00000000           1.229001525082           0.121543968293
            344.00000000           1.181259155969           0.100994933453
            346.00000000           1.136189216423           0.073682815683
            348.00000000           1.150965008738           0.096747810125
            350.00000000           1.182600879374           0.128110449752
            352.00000000           1.181030046072           0.141093134157
            354.00000000           1.165928951907           0.087904518568
            356.00000000           1.132670456697           0.093334215474
            358.00000000           1.139559134996           0.152321808457
            360.00000000           1.144364710961           0.139028753457
            362.00000000           1.165278679253           0.153891889502
            364.00000000           1.203540488137           0.157494873932
            366.00000000           1.218103568581           0.126703738119
            368.00000000           1.225123812790           0.098341980385
            370.00000000           1.186539057548           0.115070574585
            372.00000000           1.185296776636           0.145930401117
            374.00000000           1.224323741070           0.089707980103
            376.00000000           1.263813837350           0.049553663798
            378.00000000           1.255401778515           0.048368631299
            380.00000000           1.236699615805           0.114682435731
            382.00000000           1.165907478264           0.113806191375
            384.00000000           1.158853450303           0.067805993074
            386.00000000           1.150894223932           0.093536629961
            388.00000000           1.173786137501           0.107783180251
            390.00000000           1.202862085791           0.110894223163
            392.00000000           1.242824904376           0.078438976681
            394.00000000           1.275229603193           0.058370412342
