# Timestep	Num_Clusters	Max_Cluster_Size
0	12	3421
1	15	3416
2	14	3418
3	14	3419
4	12	3421
5	17	3415
6	11	3421
7	11	3422
8	13	3420
9	10	3423
10	20	3412
11	7	3426
12	17	3416
13	13	3420
14	15	3418
15	11	3422
16	12	3421
17	11	3422
18	12	3421
19	16	3417
20	14	3419
21	16	3417
22	12	3421
23	13	3420
24	13	3420
25	15	3416
26	13	3419
27	13	3419
28	19	3413
29	19	3414
30	11	3422
31	15	3417
32	7	3426
33	13	3419
34	16	3416
35	9	3424
36	6	3427
37	17	3416
38	9	3423
39	12	3421
40	16	3417
41	14	3419
42	18	3413
43	18	3415
44	13	3420
45	15	3412
46	11	3422
47	8	3423
48	13	3420
49	13	3420
50	17	3415
51	13	3420
52	11	3422
53	14	3418
54	17	3416
55	15	3418
56	15	3417
57	13	3420
58	12	3421
59	15	3418
60	9	3424
61	10	3423
62	15	3418
63	19	3407
64	17	3415
65	12	3421
66	14	3419
67	10	3423
68	14	3418
69	9	3424
70	18	3415
71	11	3422
72	16	3417
73	11	3421
74	17	3415
75	12	3420
76	10	3423
77	12	3421
78	15	3418
79	12	3420
80	10	3417
81	10	3423
82	15	3418
83	12	3420
84	14	3419
85	16	3417
86	13	3420
87	14	3419
88	8	3425
89	11	3422
90	12	3421
91	12	3421
92	8	3424
93	11	3422
94	14	3419
95	7	3426
96	15	3417
97	11	3422
98	10	3423
99	10	3423
100	16	3417
101	11	3422
102	10	3423
103	15	3412
104	13	3420
105	12	3421
106	11	3419
107	11	3422
108	10	3422
109	16	3417
110	8	3425
111	12	3421
112	11	3421
113	14	3418
114	8	3425
115	7	3426
116	9	3424
117	10	3423
118	7	3425
119	11	3422
120	8	3424
121	13	3420
122	11	3422
123	11	3422
124	13	3420
125	10	3423
126	13	3420
127	8	3425
128	11	3422
129	13	3420
130	10	3423
131	10	3423
132	11	3420
133	10	3423
134	11	3422
135	13	3420
136	10	3422
137	10	3422
138	14	3413
139	14	3419
140	9	3424
141	9	3424
142	8	3424
143	10	3423
144	14	3419
145	8	3425
146	13	3420
147	5	3428
148	10	3423
149	18	3415
150	9	3424
151	15	3417
152	13	3420
153	16	3417
154	18	3415
155	15	3418
156	7	3426
157	11	3422
158	11	3422
159	14	3419
160	14	3419
161	13	3420
162	11	3420
163	13	3420
164	14	3419
165	15	3418
166	14	3418
167	9	3424
168	14	3413
169	13	3418
170	12	3421
171	18	3414
172	8	3425
173	12	3421
174	14	3419
175	10	3423
176	9	3424
177	9	3424
178	11	3421
179	11	3422
180	11	3421
181	10	3423
182	8	3425
183	14	3419
184	11	3421
185	17	3414
186	9	3424
187	14	3417
188	11	3422
189	13	3414
190	10	3423
191	11	3417
192	18	3415
193	12	3421
194	10	3423
195	17	3411
196	14	3419
197	7	3426
198	12	3421
199	9	3424
200	9	3424
201	8	3425
202	10	3423
203	9	3422
204	8	3425
205	10	3422
206	12	3421
207	15	3418
208	6	3427
209	14	3419
210	8	3425
211	8	3425
212	11	3422
213	16	3417
214	7	3420
215	10	3423
216	12	3421
217	9	3424
218	9	3424
219	7	3426
220	12	3421
221	11	3417
222	11	3421
223	11	3422
224	11	3422
225	9	3418
226	12	3421
227	5	3428
228	9	3424
229	9	3424
230	12	3421
231	14	3419
232	13	3420
233	8	3425
234	13	3419
235	15	3418
236	10	3423
237	13	3419
238	11	3422
239	11	3422
240	11	3421
241	10	3422
242	11	3422
243	14	3413
244	8	3425
245	11	3422
246	11	3422
247	13	3419
248	9	3424
249	9	3424
250	9	3423
251	9	3424
252	13	3420
253	13	3420
254	14	3419
255	11	3421
256	13	3419
257	15	3418
258	14	3419
259	14	3419
260	12	3421
261	9	3424
262	11	3422
263	8	3425
264	10	3423
265	12	3420
266	9	3424
267	14	3419
268	14	3419
269	13	3420
270	7	3425
271	12	3421
