# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
    821000.0       1642.0     300.444000       3.303795    2029.230060     629.805482  -21459.489453      12.659955     155.497319       1.709845  -21303.992134      12.666537  116071.444000       0.001953       2.960142       0.000000
    822000.0       1644.0     300.452000       3.918788    2147.255040     363.583283  -21459.482813      11.642749     155.500669       2.028043  -21303.982143      12.685576  116071.444000       0.001953       2.960142       0.000000
    823000.0       1646.0     300.382000       4.306063    2211.379920     380.987347  -21459.448047      11.623935     155.465153       2.229254  -21303.982894      12.665136  116071.444000       0.001953       2.960142       0.000000
    824000.0       1648.0     301.942000       1.680862    2087.077860     306.102602  -21460.274609      12.075990     156.272404       0.870090  -21304.002206      12.676529  116071.444000       0.001953       2.960142       0.000000
    825000.0       1650.0     300.958000       4.398615    2101.098340     232.858199  -21459.740234      10.848574     155.763220       2.276239  -21303.977014      12.674011  116071.444000       0.001953       2.960142       0.000000
    826000.0       1652.0     301.566000       3.467400    2030.817040     340.581309  -21460.076172      12.450447     156.076646       1.794773  -21303.999526      12.662348  116071.444000       0.001953       2.960142       0.000000
    827000.0       1654.0     301.354000       2.374132    1948.062480     542.346992  -21459.955078      11.581270     155.967986       1.228676  -21303.987092      12.664014  116071.444000       0.001953       2.960142       0.000000
    828000.0       1656.0     300.382000       4.146446    2219.112120     593.600559  -21459.476562      10.724317     155.465081       2.145292  -21304.011482      12.657465  116071.444000       0.001953       2.960142       0.000000
    829000.0       1658.0     300.600000       3.435922    2473.306960     440.744340  -21459.565625      11.230445     155.577959       1.778359  -21303.987666      12.667900  116071.444000       0.001953       2.960142       0.000000
    830000.0       1660.0     301.814000       2.623956    2338.729920     277.629703  -21460.202734      12.663320     156.205473       1.359035  -21303.997262      12.665678  116071.444000       0.001953       2.960142       0.000000
    831000.0       1662.0     299.140000       2.372686    2140.959680     400.916111  -21458.805860      12.457256     154.823012       1.229437  -21303.982848      12.670809  116071.444000       0.001953       2.960142       0.000000
    832000.0       1664.0     300.152000       2.599465    2157.516140     306.110697  -21459.331640      12.716653     155.345393       1.346126  -21303.986248      12.672612  116071.444000       0.001953       2.960142       0.000000
    833000.0       1666.0     302.076000       2.396636    1990.497100     164.082097  -21460.331641      12.606196     156.341529       1.240804  -21303.990111      12.688493  116071.444000       0.001953       2.960142       0.000000
    834000.0       1668.0     299.714000       2.442323    2020.577500     393.170822  -21459.099609      11.785568     155.118914       1.263256  -21303.980695      12.651259  116071.444000       0.001953       2.960142       0.000000
    835000.0       1670.0     301.090000       3.103173    2060.509220     467.329192  -21459.812500      12.302739     155.830540       1.606868  -21303.981960      12.662976  116071.444000       0.001953       2.960142       0.000000
    836000.0       1672.0     300.988000       2.133302    2208.741340     235.534083  -21459.771875      13.449128     155.779460       1.104213  -21303.992416      12.655030  116071.444000       0.001953       2.960142       0.000000
    837000.0       1674.0     302.904000       2.701337    1823.017080     286.898118  -21460.767969      11.894812     156.768147       1.398442  -21303.999821      12.668173  116071.444000       0.001953       2.960142       0.000000
    838000.0       1676.0     301.822000       4.040720    1813.089740     433.891984  -21460.189453      12.345873     156.210175       2.090539  -21303.979278      12.659131  116071.444000       0.001953       2.960142       0.000000
    839000.0       1678.0     299.722000       3.790131    2041.210620     249.385782  -21459.105859      11.548842     155.124236       1.961188  -21303.981624      12.661300  116071.444000       0.001953       2.960142       0.000000
    840000.0       1680.0     301.408000       3.964272    2026.359300     379.009687  -21459.993750      12.913926     155.995948       2.052075  -21303.997802      12.667902  116071.444000       0.001953       2.960142       0.000000
    840000.0       1680.0     301.408000       3.964272    2026.359300     379.009687  -21459.993750      12.913926     155.995948       2.052075  -21303.997802      12.667902  116071.444000       0.001953       2.960142       0.000000
    841000.0       1682.0     303.594000       2.469863    2428.652440     292.986975  -21460.528125      11.767943     157.127214       1.277413  -21303.400911      11.979241  116071.444000       0.001953       2.960142       0.000000
    842000.0       1684.0     301.804000       2.250392    1757.271340     320.305110  -21460.082031      10.400863     156.200196       1.165190  -21303.881836      11.494782  116071.444000       0.001953       2.960142       0.000000
    843000.0       1686.0     303.392000       2.591937    1985.166440     189.686772  -21460.794531      11.739839     157.022747       1.340903  -21303.771784      11.463459  116071.444000       0.001953       2.960142       0.000000
    844000.0       1688.0     302.644000       1.804712    2154.638880     231.934648  -21460.488281      11.263192     156.634565       0.934657  -21303.853716      10.877838  116071.444000       0.001953       2.960142       0.000000
    845000.0       1690.0     300.628000       2.360300    1803.877680     556.253687  -21459.080859      10.638625     155.591440       1.222005  -21303.489420      11.284050  116071.444000       0.001953       2.960142       0.000000
    846000.0       1692.0     303.528000       3.164044    2224.470600     207.414515  -21460.126563      11.804301     157.093139       1.636972  -21303.033424      11.407617  116071.444000       0.001953       2.960142       0.000000
    847000.0       1694.0     303.318000       1.904819    2113.522840     488.691051  -21460.064844      11.231492     156.984882       0.986403  -21303.079962      11.133250  116071.444000       0.001953       2.960142       0.000000
    848000.0       1696.0     305.456000       2.573772    1781.065320     483.825460  -21461.419141      11.242391     158.091005       1.332073  -21303.328135      11.266626  116071.444000       0.001953       2.960142       0.000000
    849000.0       1698.0     302.322000       4.003475    2180.437040     322.749283  -21459.792187      11.212736     156.468586       2.071792  -21303.323601      11.118531  116071.444000       0.001953       2.960142       0.000000
    850000.0       1700.0     300.228000       2.287002    2181.662140     238.693265  -21458.476172      10.362241     155.385104       1.183965  -21303.091068      10.845055  116071.444000       0.001953       2.960142       0.000000
    851000.0       1702.0     300.674000       5.076777    2086.771980     317.743875  -21457.928125      11.189841     155.614502       2.627052  -21302.313623      10.030362  116071.444000       0.001953       2.960142       0.000000
    852000.0       1704.0     301.268000       3.275988    2068.379880     217.670850  -21458.065234       9.998235     155.923502       1.694244  -21302.141732      10.155136  116071.444000       0.001953       2.960142       0.000000
    853000.0       1706.0     302.898000       2.966718    2026.543020     364.598752  -21459.531641      10.038377     156.766710       1.535282  -21302.764931      10.153653  116071.444000       0.001953       2.960142       0.000000
    854000.0       1708.0     301.784000       3.225880    2024.925200     150.969567  -21459.135547      10.551326     156.189789       1.670183  -21302.945758       9.295747  116071.444000       0.001953       2.960142       0.000000
    855000.0       1710.0     301.138000       4.813175    1932.454380     304.065880  -21459.005859      10.338138     155.856167       2.491507  -21303.149692       9.048287  116071.444000       0.001953       2.960142       0.000000
    856000.0       1712.0     301.710000       3.249394    2302.906380     228.588774  -21459.483203      11.319256     156.151895       1.680988  -21303.331308       9.859295  116071.444000       0.001953       2.960142       0.000000
    857000.0       1714.0     302.602000       2.791562    1968.603020     389.361475  -21459.907422      10.704737     156.613269       1.445198  -21303.294153       9.553156  116071.444000       0.001953       2.960142       0.000000
