# Δt(fs)   hop_mean   hop_std
      2050          0.86029918          0.03286164
      2060          0.86029918          0.03286164
      2070          0.86029918          0.03286164
      2080          0.86029918          0.03286164
      2090          0.86029918          0.03286164
      2100          0.86029918          0.03286164
      2110          0.86029918          0.03286164
      2120          0.86029918          0.03286164
      2130          0.86029918          0.03286164
      2140          0.86029918          0.03286164
      2150          0.86029918          0.03286164
      2160          0.86029918          0.03286164
      2170          0.86029918          0.03286164
      2180          0.86029918          0.03286164
      2190          0.86029918          0.03286164
      2200          0.86029918          0.03286164
      2210          0.86029918          0.03286164
      2220          0.86029918          0.03286164
      2230          0.86029918          0.03286164
      2240          0.86029918          0.03286164
      2250          0.86029918          0.03286164
      2260          0.86029918          0.03286164
      2270          0.86029918          0.03286164
      2280          0.86029918          0.03286164
      2290          0.86029918          0.03286164
      2300          0.86029918          0.03286164
      2310          0.86029918          0.03286164
      2320          0.86029918          0.03286164
      2330          0.86029918          0.03286164
      2340          0.86029918          0.03286164
      2350          0.86029918          0.03286164
      2360          0.86029918          0.03286164
      2370          0.86029918          0.03286164
      2380          0.86029918          0.03286164
      2390          0.86029918          0.03286164
      2400          0.86029918          0.03286164
      2410          0.86029918          0.03286164
      2420          0.86029918          0.03286164
      2430          0.86029918          0.03286164
      2440          0.86029918          0.03286164
      2450          0.86029918          0.03286164
      2460          0.86029918          0.03286164
      2470          0.86029918          0.03286164
      2480          0.86029918          0.03286164
      2490          0.86029918          0.03286164
      2500          0.86029918          0.03286164
      2510          0.86029918          0.03286164
      2520          0.86029918          0.03286164
      2530          0.86029918          0.03286164
      2540          0.86029918          0.03286164
      2550          0.86029918          0.03286164
      2560          0.86029918          0.03286164
      2570          0.86029918          0.03286164
      2580          0.86029918          0.03286164
      2590          0.86029918          0.03286164
      2600          0.86029918          0.03286164
      2610          0.86029918          0.03286164
      2620          0.86029918          0.03286164
      2630          0.86029918          0.03286164
      2640          0.86029918          0.03286164
      2650          0.86029918          0.03286164
      2660          0.86029918          0.03286164
      2670          0.86029918          0.03286164
      2680          0.86029918          0.03286164
      2690          0.86029918          0.03286164
      2700          0.86029918          0.03286164
      2710          0.86029918          0.03286164
      2720          0.86029918          0.03286164
      2730          0.86029918          0.03286164
      2740          0.86029918          0.03286164
      2750          0.86029918          0.03286164
      2760          0.86029918          0.03286164
      2770          0.86029918          0.03286164
      2780          0.86029918          0.03286164
      2790          0.86029918          0.03286164
      2800          0.86029918          0.03286164
      2810          0.86029918          0.03286164
      2820          0.86029918          0.03286164
      2830          0.86029918          0.03286164
      2840          0.86029918          0.03286164
      2850          0.86029918          0.03286164
      2860          0.86029918          0.03286164
      2870          0.86029918          0.03286164
      2880          0.86029918          0.03286164
      2890          0.86029918          0.03286164
      2900          0.86029918          0.03286164
      2910          0.86029918          0.03286164
      2920          0.86029918          0.03286164
      2930          0.86029918          0.03286164
      2940          0.86029918          0.03286164
      2950          0.86029918          0.03286164
      2960          0.86029918          0.03286164
      2970          0.86029918          0.03286164
      2980          0.86029918          0.03286164
      2990          0.86029918          0.03286164
      3000          0.86029918          0.03286164
      3010          0.86029918          0.03286164
      3020          0.86029918          0.03286164
      3030          0.86029918          0.03286164
      3040          0.86029918          0.03286164
      3050          0.86029918          0.03286164
      3060          0.86029918          0.03286164
      3070          0.86029918          0.03286164
      3080          0.86029918          0.03286164
      3090          0.86029918          0.03286164
      3100          0.86029918          0.03286164
      3110          0.86029918          0.03286164
      3120          0.86029918          0.03286164
      3130          0.86029918          0.03286164
      3140          0.86029918          0.03286164
      3150          0.86029918          0.03286164
      3160          0.86029918          0.03286164
      3170          0.86029918          0.03286164
      3180          0.86029918          0.03286164
      3190          0.86029918          0.03286164
      3200          0.86029918          0.03286164
      3210          0.86029918          0.03286164
      3220          0.86029918          0.03286164
      3230          0.86029918          0.03286164
      3240          0.86029918          0.03286164
      3250          0.86029918          0.03286164
      3260          0.86029918          0.03286164
      3270          0.86029918          0.03286164
      3280          0.86029918          0.03286164
      3290          0.86029918          0.03286164
      3300          0.86029918          0.03286164
      3310          0.86029918          0.03286164
      3320          0.86029918          0.03286164
      3330          0.86029918          0.03286164
      3340          0.86029918          0.03286164
      3350          0.86029918          0.03286164
      3360          0.86029918          0.03286164
      3370          0.86029918          0.03286164
      3380          0.86029918          0.03286164
      3390          0.86029918          0.03286164
      3400          0.86029918          0.03286164
      3410          0.86029918          0.03286164
      3420          0.86029918          0.03286164
      3430          0.86029918          0.03286164
      3440          0.86029918          0.03286164
      3450          0.86029918          0.03286164
      3460          0.86029918          0.03286164
      3470          0.86029918          0.03286164
      3480          0.86029918          0.03286164
      3490          0.86029918          0.03286164
      3500          0.86029918          0.03286164
      3510          0.86029918          0.03286164
      3520          0.86029918          0.03286164
      3530          0.86029918          0.03286164
      3540          0.86029918          0.03286164
      3550          0.86029918          0.03286164
      3560          0.86029918          0.03286164
      3570          0.86029918          0.03286164
      3580          0.86029918          0.03286164
      3590          0.86029918          0.03286164
      3600          0.86029918          0.03286164
      3610          0.86029918          0.03286164
      3620          0.86029918          0.03286164
      3630          0.86029918          0.03286164
      3640          0.86029918          0.03286164
      3650          0.86029918          0.03286164
      3660          0.86029918          0.03286164
      3670          0.86029918          0.03286164
      3680          0.86029918          0.03286164
      3690          0.86029918          0.03286164
      3700          0.86029918          0.03286164
      3710          0.86029918          0.03286164
      3720          0.86029918          0.03286164
      3730          0.86029918          0.03286164
      3740          0.86029918          0.03286164
      3750          0.86029918          0.03286164
      3760          0.86029918          0.03286164
      3770          0.86029918          0.03286164
      3780          0.86029918          0.03286164
      3790          0.86029918          0.03286164
      3800          0.86029918          0.03286164
      3810          0.86029918          0.03286164
      3820          0.86029918          0.03286164
      3830          0.86029918          0.03286164
      3840          0.86029918          0.03286164
      3850          0.86029918          0.03286164
      3860          0.86029918          0.03286164
      3870          0.86029918          0.03286164
      3880          0.86029918          0.03286164
      3890          0.86029918          0.03286164
      3900          0.86029918          0.03286164
      3910          0.86029918          0.03286164
      3920          0.86029918          0.03286164
      3930          0.86029918          0.03286164
      3940          0.86029918          0.03286164
      3950          0.86029918          0.03286164
      3960          0.86029918          0.03286164
      3970          0.86029918          0.03286164
      3980          0.86029918          0.03286164
      3990          0.86029918          0.03286164
      4000          0.86029918          0.03286164
      4010          0.86029918          0.03286164
      4020          0.86029918          0.03286164
      4030          0.86029918          0.03286164
      4040          0.86029918          0.03286164
      4050          0.86029918          0.03286164
      4060          0.86029918          0.03286164
      4070          0.86029918          0.03286164
      4080          0.86029918          0.03286164
      4090          0.86029918          0.03286164
      4100          0.86029918          0.03286164
      4110          0.86029918          0.03286164
      4120          0.86029918          0.03286164
      4130          0.86029918          0.03286164
      4140          0.86029918          0.03286164
      4150          0.86029918          0.03286164
      4160          0.86029918          0.03286164
      4170          0.86029918          0.03286164
      4180          0.86029918          0.03286164
      4190          0.86029918          0.03286164
      4200          0.86029918          0.03286164
      4210          0.86029918          0.03286164
      4220          0.86029918          0.03286164
      4230          0.86029918          0.03286164
      4240          0.86029918          0.03286164
      4250          0.86029918          0.03286164
      4260          0.86029918          0.03286164
      4270          0.86029918          0.03286164
      4280          0.86029918          0.03286164
      4290          0.86029918          0.03286164
      4300          0.86029918          0.03286164
      4310          0.86029918          0.03286164
      4320          0.86029918          0.03286164
      4330          0.86029918          0.03286164
      4340          0.86029918          0.03286164
      4350          0.86029918          0.03286164
      4360          0.86029918          0.03286164
      4370          0.86029918          0.03286164
      4380          0.86029918          0.03286164
      4390          0.86029918          0.03286164
      4400          0.86029918          0.03286164
      4410          0.86029918          0.03286164
      4420          0.86029918          0.03286164
      4430          0.86029918          0.03286164
      4440          0.86029918          0.03286164
      4450          0.86029918          0.03286164
      4460          0.86029918          0.03286164
      4470          0.86029918          0.03286164
      4480          0.86029918          0.03286164
      4490          0.86029918          0.03286164
      4500          0.86029918          0.03286164
      4510          0.86029918          0.03286164
      4520          0.86029918          0.03286164
      4530          0.86029918          0.03286164
      4540          0.86029918          0.03286164
      4550          0.86029918          0.03286164
      4560          0.86029918          0.03286164
      4570          0.86029918          0.03286164
      4580          0.86029918          0.03286164
      4590          0.86029918          0.03286164
      4600          0.86029918          0.03286164
      4610          0.86029918          0.03286164
      4620          0.86029918          0.03286164
      4630          0.86029918          0.03286164
      4640          0.86029918          0.03286164
      4650          0.86029918          0.03286164
      4660          0.86029918          0.03286164
      4670          0.86029918          0.03286164
      4680          0.86029918          0.03286164
      4690          0.86029918          0.03286164
      4700          0.86029918          0.03286164
      4710          0.86029918          0.03286164
      4720          0.86029918          0.03286164
      4730          0.86029918          0.03286164
      4740          0.86029918          0.03286164
      4750          0.86029918          0.03286164
      4760          0.86029918          0.03286164
      4770          0.86029918          0.03286164
      4780          0.86029918          0.03286164
      4790          0.86029918          0.03286164
      4800          0.86029918          0.03286164
      4810          0.86029918          0.03286164
      4820          0.86029918          0.03286164
      4830          0.86029918          0.03286164
      4840          0.86029918          0.03286164
      4850          0.86029918          0.03286164
      4860          0.86029918          0.03286164
      4870          0.86029918          0.03286164
      4880          0.86029918          0.03286164
      4890          0.86029918          0.03286164
      4900          0.86029918          0.03286164
      4910          0.86029918          0.03286164
      4920          0.86029918          0.03286164
      4930          0.86029918          0.03286164
      4940          0.86029918          0.03286164
      4950          0.86029918          0.03286164
      4960          0.86029918          0.03286164
      4970          0.86029918          0.03286164
      4980          0.86029918          0.03286164
      4990          0.86029918          0.03286164
      5000          0.86029918          0.03286164
      5010          0.86029918          0.03286164
      5020          0.86029918          0.03286164
      5030          0.86029918          0.03286164
      5040          0.86029918          0.03286164
      5050          0.86029918          0.03286164
      5060          0.86029918          0.03286164
      5070          0.86029918          0.03286164
      5080          0.86029918          0.03286164
      5090          0.86029918          0.03286164
      5100          0.86029918          0.03286164
      5110          0.86029918          0.03286164
      5120          0.86029918          0.03286164
      5130          0.86029918          0.03286164
      5140          0.86029918          0.03286164
      5150          0.86029918          0.03286164
      5160          0.86029918          0.03286164
      5170          0.86029918          0.03286164
      5180          0.86029918          0.03286164
      5190          0.86029918          0.03286164
      5200          0.86029918          0.03286164
      5210          0.86029918          0.03286164
      5220          0.86029918          0.03286164
      5230          0.86029918          0.03286164
      5240          0.86029918          0.03286164
      5250          0.86029918          0.03286164
      5260          0.86029918          0.03286164
      5270          0.86029918          0.03286164
      5280          0.86029918          0.03286164
      5290          0.86029918          0.03286164
      5300          0.86029918          0.03286164
      5310          0.86029918          0.03286164
      5320          0.86029918          0.03286164
      5330          0.86029918          0.03286164
      5340          0.86029918          0.03286164
      5350          0.86029918          0.03286164
      5360          0.86029918          0.03286164
      5370          0.86029918          0.03286164
      5380          0.86029918          0.03286164
      5390          0.86029918          0.03286164
      5400          0.86029918          0.03286164
      5410          0.86029918          0.03286164
      5420          0.86029918          0.03286164
      5430          0.86029918          0.03286164
      5440          0.86029918          0.03286164
      5450          0.86029918          0.03286164
      5460          0.86029918          0.03286164
      5470          0.86029918          0.03286164
      5480          0.86029918          0.03286164
      5490          0.86029918          0.03286164
      5500          0.86029918          0.03286164
      5510          0.86029918          0.03286164
      5520          0.86029918          0.03286164
      5530          0.86029918          0.03286164
      5540          0.86029918          0.03286164
      5550          0.86029918          0.03286164
      5560          0.86029918          0.03286164
      5570          0.86029918          0.03286164
      5580          0.86029918          0.03286164
      5590          0.86029918          0.03286164
      5600          0.86029918          0.03286164
      5610          0.86029918          0.03286164
      5620          0.86029918          0.03286164
      5630          0.86029918          0.03286164
      5640          0.86029918          0.03286164
      5650          0.86029918          0.03286164
      5660          0.86029918          0.03286164
      5670          0.86029918          0.03286164
      5680          0.86029918          0.03286164
      5690          0.86029918          0.03286164
      5700          0.86029918          0.03286164
      5710          0.86029918          0.03286164
      5720          0.86029918          0.03286164
      5730          0.86029918          0.03286164
      5740          0.86029918          0.03286164
      5750          0.86029918          0.03286164
      5760          0.86029918          0.03286164
      5770          0.86029918          0.03286164
      5780          0.86029918          0.03286164
      5790          0.86029918          0.03286164
      5800          0.86029918          0.03286164
      5810          0.86029918          0.03286164
      5820          0.86029918          0.03286164
      5830          0.86029918          0.03286164
      5840          0.86029918          0.03286164
      5850          0.86029918          0.03286164
      5860          0.86029918          0.03286164
      5870          0.86029918          0.03286164
      5880          0.86029918          0.03286164
      5890          0.86029918          0.03286164
      5900          0.86029918          0.03286164
      5910          0.86029918          0.03286164
      5920          0.86029918          0.03286164
      5930          0.86029918          0.03286164
      5940          0.86029918          0.03286164
      5950          0.86029918          0.03286164
      5960          0.86029918          0.03286164
      5970          0.86029918          0.03286164
      5980          0.86029918          0.03286164
      5990          0.86029918          0.03286164
      6000          0.86029918          0.03286164
      6010          0.86029918          0.03286164
      6020          0.86029918          0.03286164
      6030          0.86029918          0.03286164
      6040          0.86029918          0.03286164
      6050          0.86029918          0.03286164
      6060          0.86029918          0.03286164
      6070          0.86029918          0.03286164
      6080          0.86029918          0.03286164
      6090          0.86029918          0.03286164
      6100          0.86029918          0.03286164
      6110          0.86029918          0.03286164
      6120          0.86029918          0.03286164
      6130          0.86029918          0.03286164
      6140          0.86029918          0.03286164
      6150          0.86029918          0.03286164
      6160          0.86029918          0.03286164
      6170          0.86029918          0.03286164
      6180          0.86029918          0.03286164
      6190          0.86029918          0.03286164
      6200          0.86029918          0.03286164
      6210          0.86029918          0.03286164
      6220          0.86029918          0.03286164
      6230          0.86029918          0.03286164
      6240          0.86029918          0.03286164
      6250          0.86029918          0.03286164
      6260          0.86029918          0.03286164
      6270          0.86029918          0.03286164
      6280          0.86029918          0.03286164
      6290          0.86029918          0.03286164
      6300          0.86029918          0.03286164
      6310          0.86029918          0.03286164
      6320          0.86029918          0.03286164
      6330          0.86029918          0.03286164
      6340          0.86029918          0.03286164
      6350          0.86029918          0.03286164
      6360          0.86029918          0.03286164
      6370          0.86029918          0.03286164
      6380          0.86029918          0.03286164
      6390          0.86029918          0.03286164
      6400          0.86029918          0.03286164
      6410          0.86029918          0.03286164
      6420          0.86029918          0.03286164
      6430          0.86029918          0.03286164
      6440          0.86029918          0.03286164
      6450          0.86029918          0.03286164
      6460          0.86029918          0.03286164
      6470          0.86029918          0.03286164
      6480          0.86029918          0.03286164
      6490          0.86029918          0.03286164
      6500          0.86029918          0.03286164
      6510          0.86029918          0.03286164
      6520          0.86029918          0.03286164
      6530          0.86029918          0.03286164
      6540          0.86029918          0.03286164
      6550          0.86029918          0.03286164
      6560          0.86029918          0.03286164
      6570          0.86029918          0.03286164
      6580          0.86029918          0.03286164
      6590          0.86029918          0.03286164
      6600          0.86029918          0.03286164
      6610          0.86029918          0.03286164
      6620          0.86029918          0.03286164
      6630          0.86029918          0.03286164
      6640          0.86029918          0.03286164
      6650          0.86029918          0.03286164
      6660          0.86029918          0.03286164
      6670          0.86029918          0.03286164
      6680          0.86029918          0.03286164
      6690          0.86029918          0.03286164
      6700          0.86029918          0.03286164
      6710          0.86029918          0.03286164
